gene,rna_baseMean,rna_log2FC,rna_padj
Ltbp4,253.2872971,0.198049642,0.355770368
LOC100909824,322.7021106,-0.310938836,7.77E-02
Supt5h,2271.667338,-0.247876306,0.063621221
Sipa1l3,1908.254852,0.020026746,9.06E-01
LOC102547413,308.0120473,-0.306006016,0.083074383
Pdcd2l,123.0760219,-0.591852839,0.015056626
Chst8,324.7158841,-1.27921391,6.22E-12
LOC687508,7.80730211,-0.222130387,0.66823184
Ankrd27,692.8669498,0.250916836,0.10648066
Dpy19l3,3567.996234,-0.165929463,0.203975642
Vstm2b,141.8266512,-0.745047756,0.002335155
Zfp141,569.2965127,-0.773682824,2.60E-05
Vom2r38,8.306393979,0.858290673,0.089661959
Vom2r37,4.324056891,0.751965587,0.133479477
Syt3,578.7538312,-0.984351505,2.10E-10
Ap2a1,2864.570072,-0.521986646,8.17E-05
Ccdc155,11.04979181,0.932293751,0.060752142
Grin2d,82.15113657,0.86213158,0.002682406
Abcc6,9.467719699,1.299321281,0.012748323
Kcnj11,84.96215243,-0.413098095,0.1301971
Sergef,1368.456095,1.324299834,7.94E-23
Prmt3,583.7830587,-0.595872422,1.37E-04
Gas2,105.5945686,0.178894029,0.49669064
Gabra5,6455.523029,-1.145804468,2.21E-21
LOC100365773,25.94755775,-0.483144733,0.221854463
Otud7a,705.4109094,0.125501684,0.490459773
Apba2,3870.178467,-0.984734128,4.23E-15
Mef2a,2235.815944,-0.936442994,1.25E-14
Lrrc28,387.7036295,0.304237383,0.068291476
Synm,704.0590873,0.155520735,0.312382228
Nr2f2,144.4135081,0.775075288,4.09E-04
Fam174b,39.97203212,-0.677461621,0.053282721
Slco3a1,123.0329389,-0.456637521,0.059854215
Sv2b,13526.91551,-1.934309364,1.67E-45
Ntrk3,2302.987265,-0.794436622,6.84E-11
Vps33b,439.8833364,-0.489672737,0.001926477
Cpeb1,646.8102019,-0.986538053,3.04E-11
Fsd2,9.793958943,0.054704157,0.919106351
Homer2,1227.528109,1.585487562,8.07E-31
Sh3gl3,1513.335919,0.038678387,0.816362618
Mex3b,165.0971062,-0.905217928,6.87E-05
Cemip,434.2986915,-0.94141121,3.72E-09
Abhd17c,314.1832554,-0.770979455,6.57E-06
Arnt2,2722.367789,0.634954284,7.31E-07
Grm5,11634.82218,-1.29609573,3.92E-29
Me3,766.4195331,-1.051479335,3.93E-14
Ccdc83,43.91589514,-1.464775626,5.89E-05
Rsf1,2783.341621,-0.040823931,0.806061819
Pak1,7591.250021,-1.528107659,1.42E-35
Uvrag,1869.57323,0.528191993,5.58E-04
Map6,661.458171,-0.665039379,1.53E-05
Pgm2l1,6509.378973,-1.209327356,1.06E-22
Fam168a,430.8286657,0.080032542,0.660019146
Pde2a,9441.705077,-0.583372914,2.01E-06
Clpb,845.5219699,0.05691669,7.34E-01
Rnf121,320.0736773,-0.450087149,0.008538705
Stim1,887.5991339,0.01982021,0.905518928
Cckbr,34.10006299,0.424956471,0.254345691
Apbb1,5333.340474,-0.583349888,7.34E-06
Dnhd1,143.9060565,0.042381805,0.874023313
Syt9,56.94547253,1.282245208,3.29E-05
Ric3,449.2295964,-0.611195315,1.23E-04
Scube2,252.0010527,-1.348634037,1.55E-12
rnf141,1261.867627,0.46189239,0.001917477
Galnt18,1401.49229,-1.42025566,5.77E-19
Dkk3,1466.183167,-1.547633985,3.22E-26
Mical2,8485.63319,-0.656527525,1.70E-08
Arntl,800.8965951,-0.609276302,1.27E-05
Far1,2473.935106,-0.830179017,6.50E-10
Spon1,2481.180666,-1.698102755,1.04E-29
Syt17,1574.200961,-1.124559508,8.30E-18
Acsm5,22.91657291,1.190324847,0.004531258
Dcun1d3,53.26645492,-0.108084556,0.75879455
Abca14,2.889360455,-0.647286449,0.170961431
Uqcrc2,8688.11563,-0.328841946,0.010576177
Vwa3a,179.5895104,-1.514842584,1.74E-12
Hs3st2,62.43006249,-1.426734402,2.81E-06
Usp31,4630.165526,0.222863748,0.072127956
Ears2,21.67392073,-0.104868301,8.16E-01
Prkcb,21448.83997,-0.641428332,2.03E-08
Cacng3,1132.550631,-1.397119488,6.76E-26
Gsg1l,44.53607616,1.170391725,9.21E-04
Xpo6,3236.406116,-0.417421244,5.94E-04
Nfatc2ip,113.9741865,0.027051668,9.25E-01
Atxn2l,988.8908144,-0.378389782,0.006519862
Taok2,3057.713509,0.249743074,0.060775234
Spn,8.743872711,-0.644026201,1.94E-01
Dctpp1,22.80373982,-0.290203625,0.497222179
Ate1,1315.053583,-0.723554167,7.67E-08
Acadsb,674.5737954,0.144636523,4.57E-01
Cpxm2,17.3044437,1.198580796,8.86E-03
Nkx1-2,4.883047625,0.300094154,0.562650025
Zranb1,3354.385847,0.393059443,6.03E-03
Bccip,1194.559362,-0.191929754,0.223802285
Ptpre,900.2926839,-0.484609199,7.00E-04
Tcerg1l,77.93839293,0.389410007,0.160625404
Jakmip3,232.6674808,-0.467427638,1.90E-02
Lrrc27,37.03165757,-0.328860688,3.55E-01
Tubgcp2,1022.487418,-0.158412865,2.76E-01
Psmd13,1897.160887,-0.626316427,1.06E-06
Deaf1,345.6451565,0.260957368,0.198041419
Ap2a2,7334.524612,-0.259312282,0.032170818
Tollip,519.2793208,-0.172941085,0.330417599
Kcnq1,2.837667407,0.470242916,0.328935625
Cars,680.1062603,-0.047599546,0.779704189
LOC100364769,2.60946314,0.07827481,8.75E-01
Kmt5b,1846.576528,-0.365913888,1.02E-02
Pc,1436.007439,0.0606389,7.26E-01
Pacs1,1544.878539,-0.844729616,1.27E-11
Scyl1,706.1448817,0.308844544,5.14E-02
Arl2,428.8862709,0.010758703,0.958023419
Nrxn2,1251.73152,0.325023569,4.03E-02
Macrod1,101.7138396,0.435275571,8.27E-02
Mark2,1190.354626,-0.343606563,0.013152465
Rtn3,12389.18725,-1.147309627,6.11E-20
Slc22a25,8.806778547,0.992296389,0.05204929
RGD1566289,5.705649788,-1.295923179,1.20E-02
LOC108349691,1.850907112,0.461760644,0.291322901
LOC102557108,8.205059225,0.437966669,0.382126422
Tle4,1048.191613,-0.142988849,0.343927873
Gnaq,4477.800178,-0.840494359,1.75E-11
Pcsk5,319.2767252,-0.579503892,0.001057756
Tmc1,4.402916901,0.511258597,0.310220793
Klf9,632.6479166,-0.224757015,0.22472937
Smc5,2444.78272,-0.736948119,1.58E-07
Apba1,2068.945519,0.953479884,8.12E-15
Pum3,454.1638717,-0.662425751,1.70E-05
Rfx3,721.1631749,-0.112403074,4.79E-01
Spata6l,149.3763318,-0.062360773,0.803272859
Uhrf2,1666.766177,-0.654915551,5.95E-07
Atad1,4048.450456,-0.401873624,0.003162588
Rnls,123.9031991,-0.567428513,1.33E-02
Cpeb3,707.4817383,0.128120178,4.34E-01
Exoc6,2299.941502,-1.218985666,3.16E-21
Slit1,2025.063465,-1.118092872,1.17E-12
Pi4k2a,483.551063,-0.657535518,2.25E-05
Crtac1,925.7442619,-0.914553839,1.74E-09
Abcc2,30.13108644,-0.42961173,2.54E-01
LOC681458,3.145847376,1.047251886,2.18E-02
Btrc,1479.599061,-0.796033235,9.73E-10
C1H10orf76,725.2505501,-0.037192299,8.43E-01
Pprc1,452.952091,-0.414978594,0.009089863
Fbxl15,59.89914598,-0.61697654,0.065881142
Cnnm2,565.2891531,-0.511992342,6.04E-04
Usmg5,2277.898852,-0.272926811,0.079517569
Neurl1,492.1425845,1.699224865,2.77E-19
Mxi1,1110.846305,1.472226349,2.58E-24
Smc3,3139.90232,-0.260429352,8.52E-02
Rbm20,16.26965709,0.039436375,0.935518424
Trub1,145.9453124,-0.65686694,0.002310181
Pdzd8,3385.186283,-0.014139254,9.35E-01
Fam45a,1165.932105,-0.195955605,1.93E-01
Pcmt1,2264.939658,-1.053715885,2.59E-17
Nup43,188.0647925,-0.409871412,4.73E-02
Ppil4,1778.909324,-1.170254878,6.62E-17
Sf3b5,216.774064,-0.483470979,0.020108911
Ltv1,578.0217467,-0.683530941,3.68E-06
Pex3,705.7489052,-0.329558598,0.039369309
Vta1,1382.772109,-0.196817928,0.186965171
LOC100909392,9.23186181,0.074540033,0.891498306
LOC310926,2.172840795,0.244554994,0.581336762
Cited2,53.81772351,0.098368996,0.776162258
Reps1,671.7142469,-0.056412571,7.55E-01
Ccdc28a,154.0449381,-1.295496053,2.54E-09
Slc35d3,32.26549079,0.89803473,0.015557973
LOC102547604,2.240308276,0.220424853,0.652004511
Bclaf1,5631.342474,-0.880199337,2.41E-12
Hbs1l,2233.048607,-0.438259553,5.58E-04
Aldh8a1,2.048680734,-0.231360036,0.632046322
LOC103690149,214.4831781,-0.615287166,0.001271554
Tmem200a,811.376693,-1.795556806,1.93E-34
Arg1,86.66964585,1.380193982,5.78E-07
Stx7,274.9881157,-0.708688522,1.95E-04
Slc18b1,399.0330231,-0.115475958,0.532532026
Clvs2,350.8679749,-1.247679611,9.72E-14
Rspo3,61.86560926,-1.228860432,5.53E-05
Rnf146,2079.079531,-0.74437609,1.52E-09
Echdc1,897.31433,0.798215605,4.85E-07
LOC108349506,2.421070154,0.535412182,0.246896479
Soga3,6394.935201,-0.898525526,3.91E-13
LOC100911237,84.84854281,-1.642221179,3.53E-09
Ccdc127,812.3560989,-0.28989176,0.048542725
Sdha,5218.646038,-0.009499478,0.950254979
Tppp,883.3122546,0.138367383,0.459235208
Zdhhc11,3.187366689,-9.02E-05,0.999892276
Brd9,838.9996422,-0.273554272,0.055753746
Ice1,3042.662918,-0.47637899,1.05E-04
Med10,372.6779673,-0.846607037,3.08E-07
Ube2ql1,328.6876259,-1.059944666,2.55E-09
Srd5a1,138.4537139,0.943576949,1.72E-05
Papd7,520.6589819,-0.157545156,3.36E-01
RGD1308544,193.1521204,-1.002320718,1.32E-06
Fastkd3,598.5945125,-0.684904011,4.39E-06
LOC108349511,23.46667656,-0.223191886,0.60024083
LOC102547287,699.8970836,-0.6353817,1.35E-04
RGD1564382,3.074354827,-0.036565194,0.945120158
LOC688839,14.78464036,1.707721398,6.62E-04
LOC108349516,2.733798722,-0.24534843,0.615531031
Iyd,3.011939466,0.714538032,0.132103327
Zbtb2,110.7872555,-0.261972787,0.305814729
Rmnd1,746.939868,-0.930860057,3.34E-11
Armt1,599.4218285,-0.742367594,1.58E-06
LOC103690962,54.00454369,0.228367485,0.477428912
Mtrf1l,345.3405806,-0.409141022,0.019847742
Rgs17,454.6928455,-0.544802269,0.001474308
Tmem242,231.6356721,0.317554051,0.100307646
Serac1,426.567827,-0.583793076,2.33E-04
Gtf2h5,736.0761783,-0.184630024,0.250136004
RGD1560015,30.27131939,-0.106905077,7.99E-01
Wtap,1228.125798,-0.398667825,0.00471263
Acat2,353.2892,0.78395705,8.95E-06
