threshold_um,null_model,region,xmin_um,xmax_um,actin_total,arc_total,observed_pairs,actin_match_fraction,arc_match_fraction,dice_fraction,null_pairs_mean,null_pairs_ci_low,null_pairs_ci_high,null_actin_match_fraction_mean,null_arc_match_fraction_mean,null_dice_fraction_mean,enrichment_vs_null,empirical_p_enrichment
0.1,permute_x_fix_yz,whole_image,-inf,inf,1605,559,108,0.06728971962616823,0.19320214669051877,0.09981515711645102,9.9065,4.0,16.0,0.00617227414330218,0.017721824686940967,0.009155730129390019,10.901933074244184,0.0004997501249375312
0.1,permute_x_fix_yz,x_ge_50,50.0,inf,248,66,9,0.036290322580645164,0.13636363636363635,0.05732484076433121,0.462,0.0,2.0,0.0018629032258064516,0.007,0.002942675159235669,19.48051948051948,0.0004997501249375312
0.1,permute_x_fix_yz,0_30,0.0,30.0,1062,408,84,0.07909604519774012,0.20588235294117646,0.11428571428571428,8.291,3.0,14.0,0.007806967984934087,0.02032107843137255,0.011280272108843538,10.131467856712097,0.0004997501249375312
0.1,permute_x_fix_yz,30_60,30.0,60.0,388,116,20,0.05154639175257732,0.1724137931034483,0.07936507936507936,1.3435,0.0,4.0,0.0034626288659793812,0.011581896551724136,0.005331349206349206,14.8864905098623,0.0004997501249375312
0.1,permute_x_fix_yz,60_90,60.0,90.0,134,28,3,0.022388059701492536,0.10714285714285714,0.037037037037037035,0.2555,0.0,1.0,0.0019067164179104477,0.009125,0.003154320987654321,11.741682974559687,0.0004997501249375312
0.1,permute_x_fix_yz,90_120,90.0,120.0,20,6,1,0.05,0.16666666666666666,0.07692307692307693,0.0165,0.0,0.0,0.000825,0.0027500000000000003,0.0012692307692307692,60.6060606060606,0.01699150424787606
