image_id,bin,null_mean_coassoc_freq
1hrCLTPBIP_010_d6.tif_d1_localizations.csv,40_80,0.0
1hrCLTPBIP_010_d6.tif_d1_localizations.csv,80_120,0.0
1hrCLTPBIP_010_d6.tif_d1_localizations.csv,120_160,0.0
1hrCLTPBIP_012_d1.tif_d1_localizations.csv,whole_image,0.07572941176470588
1hrCLTPBIP_012_d1.tif_d1_localizations.csv,0_40,0.12498376262626261
1hrCLTPBIP_012_d1.tif_d1_localizations.csv,40_80,0.0
1hrCLTPBIP_012_d1.tif_d1_localizations.csv,80_120,0.0
1hrCLTPBIP_012_d1.tif_d1_localizations.csv,120_160,0.0
1hrCLTPBIP_012_d2.tif_d1_localizations.csv,whole_image,0.325775
1hrCLTPBIP_012_d2.tif_d1_localizations.csv,0_40,0.3488769480519481
1hrCLTPBIP_012_d2.tif_d1_localizations.csv,40_80,0.2319088961038961
1hrCLTPBIP_012_d2.tif_d1_localizations.csv,80_120,0.0
1hrCLTPBIP_012_d2.tif_d1_localizations.csv,120_160,0.0
1hrCLTP_Tom20500_001_d1.tif_d1_localizations.csv,whole_image,0.0
1hrCLTP_Tom20500_001_d1.tif_d1_localizations.csv,0_40,0.0
1hrCLTP_Tom20500_001_d1.tif_d1_localizations.csv,40_80,0.0
1hrCLTP_Tom20500_001_d1.tif_d1_localizations.csv,80_120,0.0
1hrCLTP_Tom20500_001_d1.tif_d1_localizations.csv,120_160,0.0
1hrCLTP_Tom20500_002_d1.tif_d1_localizations.csv,whole_image,0.05009803921568628
1hrCLTP_Tom20500_002_d1.tif_d1_localizations.csv,0_40,0.06068175125681052
1hrCLTP_Tom20500_002_d1.tif_d1_localizations.csv,40_80,0.0
1hrCLTP_Tom20500_002_d1.tif_d1_localizations.csv,80_120,0.0
1hrCLTP_Tom20500_002_d1.tif_d1_localizations.csv,120_160,0.0
1hrCLTP_Tom20500_002_d2.tif_d1_localizations.csv,whole_image,0.03853529411764706
1hrCLTP_Tom20500_002_d2.tif_d1_localizations.csv,0_40,0.03853529411764706
1hrCLTP_Tom20500_002_d2.tif_d1_localizations.csv,40_80,0.0
1hrCLTP_Tom20500_002_d2.tif_d1_localizations.csv,80_120,0.0
1hrCLTP_Tom20500_002_d2.tif_d1_localizations.csv,120_160,0.0
1hrCLTP_Tom20500_002_d3.tif_d1_localizations.csv,whole_image,0.09357142857142857
1hrCLTP_Tom20500_002_d3.tif_d1_localizations.csv,0_40,0.09357142857142857
1hrCLTP_Tom20500_002_d3.tif_d1_localizations.csv,40_80,0.0
1hrCLTP_Tom20500_002_d3.tif_d1_localizations.csv,80_120,0.0
1hrCLTP_Tom20500_002_d3.tif_d1_localizations.csv,120_160,0.0
1hrCLTP_Tom20500_003_d1.tif_d1_localizations.csv,whole_image,0.21410740740740739
1hrCLTP_Tom20500_003_d1.tif_d1_localizations.csv,0_40,0.22224567489440614
1hrCLTP_Tom20500_003_d1.tif_d1_localizations.csv,40_80,0.0
1hrCLTP_Tom20500_003_d1.tif_d1_localizations.csv,80_120,0.0
1hrCLTP_Tom20500_003_d1.tif_d1_localizations.csv,120_160,0.0
1hrCLTP_Tom20500_003_d2.tif_d1_localizations.csv,whole_image,0.07583571428571428
1hrCLTP_Tom20500_003_d2.tif_d1_localizations.csv,0_40,0.08384415969530355
1hrCLTP_Tom20500_003_d2.tif_d1_localizations.csv,40_80,0.0
1hrCLTP_Tom20500_003_d2.tif_d1_localizations.csv,80_120,0.0
1hrCLTP_Tom20500_003_d2.tif_d1_localizations.csv,120_160,0.0
1hrCLTP_Tom20500_004_d1.tif_d1_localizations.csv,whole_image,0.35261000000000003
1hrCLTP_Tom20500_004_d1.tif_d1_localizations.csv,0_40,0.35261000000000003
1hrCLTP_Tom20500_004_d1.tif_d1_localizations.csv,40_80,0.0
1hrCLTP_Tom20500_004_d1.tif_d1_localizations.csv,80_120,0.0
1hrCLTP_Tom20500_004_d1.tif_d1_localizations.csv,120_160,0.0
1hrCLTP_Tom20500_004_d2.tif_d1_localizations.csv,whole_image,0.0
1hrCLTP_Tom20500_004_d2.tif_d1_localizations.csv,0_40,0.0
