bin,observed_mean,observed_sd,observed_sem,null_mean,null_sd,delta_vs_null,z_score,p_value_enrichment,null_ci_low,null_ci_high,n_images
whole_image,0.11459620795438809,0.1651420364887642,0.02206803288196701,0.024437234285915713,0.006348246565859715,0.09015897366847238,14.202185238572651,0.0001999600079984003,0.013146112071248196,0.03763344310217676,56
0_30,0.1198549856692543,0.18725879332968937,0.025023508832157395,0.02523331226399969,0.006659228416199006,0.09462167340525461,14.209104642676206,0.0001999600079984003,0.013185429810373015,0.038584591369682994,56
30_60,0.06259519801186468,0.13953381917218735,0.020139972015029733,0.012960577851932015,0.008095487398347794,0.04963462015993267,6.131146615096033,0.0001999600079984003,0.0007575757575757576,0.03180290629509377,48
60_90,0.052910052910052914,0.17076099685878782,0.0372631044691196,0.007525679277558976,0.01101428709821251,0.04538437363249394,4.1205003308711,0.0023995200959808036,0.0,0.036758563074352546,21
90_120,0.08,0.17888543819998318,0.08,0.005520000000000001,0.020278358966358042,0.07448,3.672881031624054,0.0691861627674465,0.0,0.08,5
