Source File,X (um),Y (um)
C2-1hrCLTPBIP_001_d2.tif_d1_localizations.csv,8.392982,1.695278
C2-1hrCLTPBIP_001_d2.tif_d1_localizations.csv,3.078842,2.6298415
C2-1hrCLTPBIP_002_d1.tif_d1_localizations.csv,22.415705,2.343874
C2-1hrCLTPBIP_002_d1.tif_d1_localizations.csv,26.256516,2.7691755
C2-1hrCLTPBIP_002_d1.tif_d1_localizations.csv,6.3397555,3.897322
C2-1hrCLTPBIP_002_d1.tif_d1_localizations.csv,22.0113075,3.97696
C2-1hrCLTPBIP_002_d1.tif_d1_localizations.csv,14.5050165,4.6119125
C2-1hrCLTPBIP_002_d1.tif_d1_localizations.csv,20.9174095,2.5198225
C2-1hrCLTPBIP_002_d1.tif_d1_localizations.csv,7.4760985,2.693574
C2-1hrCLTPBIP_002_d1.tif_d1_localizations.csv,25.812176,3.060096
C2-1hrCLTPBIP_002_d1.tif_d1_localizations.csv,43.0306955,3.306017
C2-1hrCLTPBIP_002_d1.tif_d1_localizations.csv,10.066927,3.4073975
C2-1hrCLTPBIP_002_d1.tif_d1_localizations.csv,47.397285,3.356366
C2-1hrCLTPBIP_002_d1.tif_d1_localizations.csv,45.5179335,3.407963
C2-1hrCLTPBIP_002_d1.tif_d1_localizations.csv,12.2063695,4.1685605
C2-1hrCLTPBIP_002_d1.tif_d1_localizations.csv,40.0090405,2.548351
C2-1hrCLTPBIP_002_d1.tif_d1_localizations.csv,34.847982,2.6054665
C2-1hrCLTPBIP_002_d1.tif_d1_localizations.csv,35.056307,2.900859
C2-1hrCLTPBIP_002_d1.tif_d1_localizations.csv,53.084434,3.126877
C2-1hrCLTPBIP_002_d1.tif_d1_localizations.csv,44.2370825,3.2512935
C2-1hrCLTPBIP_002_d1.tif_d1_localizations.csv,49.0688055,3.3103525
C2-1hrCLTPBIP_002_d1.tif_d1_localizations.csv,50.3532705,3.618355
C2-1hrCLTPBIP_002_d1.tif_d1_localizations.csv,27.7653285,1.2845105
C2-1hrCLTPBIP_002_d1.tif_d1_localizations.csv,60.830172,1.855932
C2-1hrCLTPBIP_002_d1.tif_d1_localizations.csv,45.0989045,2.6984165
C2-1hrCLTPBIP_002_d1.tif_d1_localizations.csv,43.6151235,3.1414955
C2-1hrCLTPBIP_002_d1.tif_d1_localizations.csv,52.9366695,2.1442135
C2-1hrCLTPBIP_002_d1.tif_d1_localizations.csv,53.3855335,2.605174
C2-1hrCLTPBIP_002_d1.tif_d1_localizations.csv,17.357587,1.2787125
C2-1hrCLTPBIP_002_d1.tif_d1_localizations.csv,10.658804,1.5605135
C2-1hrCLTPBIP_002_d1.tif_d1_localizations.csv,23.426819,2.396277
C2-1hrCLTPBIP_002_d1.tif_d1_localizations.csv,10.3415455,2.534259
C2-1hrCLTPBIP_002_d1.tif_d1_localizations.csv,8.024861,3.012438
C2-1hrCLTPBIP_002_d1.tif_d1_localizations.csv,14.882075,3.697018
C2-1hrCLTPBIP_002_d1.tif_d1_localizations.csv,53.827761,2.4498695
C2-1hrCLTPBIP_002_d1.tif_d1_localizations.csv,12.6235135,5.330897
C2-1hrCLTPBIP_002_d1.tif_d1_localizations.csv,11.549681,4.2743025
C2-1hrCLTPBIP_002_d2.tif_d1_localizations.csv,69.9571405,1.5475785
C2-1hrCLTPBIP_002_d2.tif_d1_localizations.csv,83.77564,2.002338
C2-1hrCLTPBIP_002_d2.tif_d1_localizations.csv,73.683012,1.762098
C2-1hrCLTPBIP_002_d2.tif_d1_localizations.csv,70.792436,1.8273125
C2-1hrCLTPBIP_002_d2.tif_d1_localizations.csv,19.769347,1.861327
C2-1hrCLTPBIP_002_d2.tif_d1_localizations.csv,24.7990535,1.9853535
C2-1hrCLTPBIP_002_d2.tif_d1_localizations.csv,71.1444175,1.996852
C2-1hrCLTPBIP_002_d2.tif_d1_localizations.csv,61.6397535,2.0863895
C2-1hrCLTPBIP_002_d2.tif_d1_localizations.csv,51.1493775,2.201524
C2-1hrCLTPBIP_002_d2.tif_d1_localizations.csv,24.368006,1.2695605
C2-1hrCLTPBIP_002_d2.tif_d1_localizations.csv,64.540008,1.700816
C2-1hrCLTPBIP_002_d2.tif_d1_localizations.csv,41.5809485,2.0754305
