"logFC","AveExpr","t","P.Value","adj.P.Val","B","PG.UniprotIds","PG.ProteinNames","PG.Genes","label_filtered"
0.490828453273224,19.6124213891231,0.543459663417598,0.603509965192053,0.786215364661949,-5.71723008138754,"P63085","MK01_MOUSE","Mapk1","Mapk1"
2.57645793219403,17.2556623819281,2.50867061371596,0.0401350945454955,0.276640513268606,-3.57167967732676,"Q63844","MK03_MOUSE","Mapk3","Mapk3"
1.31556689689526,16.2971124636666,0.619539329371319,0.554982960839281,0.755656909085336,-5.67298341683396,"Q9CX34","SGT1_MOUSE","Sugt1","Sugt1"
-1.55550849834953,16.6876255815287,-1.0597552620791,0.324094174460924,0.620764995698232,-5.32416065925674,"P62878","RBX1_MOUSE","Rbx1","Rbx1"
-1.0256147412813,22.4166687011,-0.663831146115612,0.527833862917776,0.743070710199441,-5.64485654903252,"O08784","TCOF_MOUSE","Tcof1","Tcof1"
0.384862765160555,19.6839758531804,0.416519179134571,0.68937794162148,0.837341987628041,-5.77911835942725,"Q91VA7","Q91VA7_MOUSE","Idh3b","Idh3b"
1.07101536708266,20.9374516630851,1.32508751807126,0.226338567279587,0.558003002501161,-5.05177296792032,"Q60931","VDAC3_MOUSE","Vdac3","Vdac3"
0.40287696740986,16.9261596667987,0.234660058157065,0.821120313171615,0.913783052423384,-5.84034726805408,"Q9QX47","SON_MOUSE","Son","Son"
2.49362223511764,22.4441123339285,3.14900851306722,0.0159541931084473,0.156555431881906,-2.75198094382,"P70296","PEBP1_MOUSE","Pebp1","Pebp1"
-1.8779244549918,19.3877829212265,-1.0876980148139,0.312393580899032,0.61068499818535,-5.29736100898807,"Q8CB77","ELOA1_MOUSE","Eloa","Eloa"
-1.34567867200562,17.3250005633838,-0.636630713326009,0.544408144365187,0.751865101498299,-5.66233263773557,"E9Q6J5","BD1L1_MOUSE","Bod1l","Bod1l"
3.68479451825671,19.5979527685519,3.40002847375556,0.0112609460415971,0.129502533422931,-2.44473359329293,"Q9R1Q8","TAGL3_MOUSE","Tagln3","Tagln3"
-0.313408534058418,22.511809002392,-0.323125312189747,0.755942529912334,0.876982557068158,-5.81470186994236,"P62259","1433E_MOUSE","Ywhae","Ywhae"
0.131099723613314,19.7448742396015,0.070523010118073,0.945729755670475,0.970620830535901,-5.86657762930227,"Q8BTI8","SRRM2_MOUSE","Srrm2","Srrm2"
