"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045259","CC","GO:0045259","proton-transporting ATP synthase complex","8/691","20/7719",0.000188192594158462,0.0085553829324783,0.00847740633128674,"Atp5mf/Atp5mk/Atp5mg/Atp5pd/Atp5mj/Atp5pf/Atp5mc1/Atp5pb",8
"GO:0005761","CC","GO:0005761","mitochondrial ribosome","18/691","82/7719",0.000266534078611356,0.0118838319473159,0.0117755187564632,"Mrpl23/Mrpl20/Mrps33/Mrps28/Mrpl52/Mrpl42/Mrpl27/Mrps14/Chchd1/Mrpl53/Mrpl28/Mrps18a/Mrps21/Mrpl41/Mrps24/Aurkaip1/Mrpl32/Ndufa7",18
"GO:0005879","CC","GO:0005879","axonemal microtubule","6/691","13/7719",0.000498823387786149,0.0208382346771565,0.0206483080861692,"Cfap52/Enkur/Cfap276/Tuba1a/Tubb4b/Pacrg",6
"GO:0030312","CC","GO:0030312","external encapsulating structure","25/691","152/7719",0.00198938593002415,0.0709598658270923,0.0703131140449832,"Cthrc1/Fibcd1/Thsd4/Smoc1/Timp3/Cst3/Lgals1/Ccn2/S100a11/Ctsz/Sfrp1/Rpsa/S100a13/Mmp16/Sparc/S100a6/Anxa5/Prelp/Rarres2/Serping1/Apoe/Cstb/Igfbp7/S100a10/Pmp22",25
"GO:0031012","CC","GO:0031012","extracellular matrix","25/691","152/7719",0.00198938593002415,0.0709598658270923,0.0703131140449832,"Cthrc1/Fibcd1/Thsd4/Smoc1/Timp3/Cst3/Lgals1/Ccn2/S100a11/Ctsz/Sfrp1/Rpsa/S100a13/Mmp16/Sparc/S100a6/Anxa5/Prelp/Rarres2/Serping1/Apoe/Cstb/Igfbp7/S100a10/Pmp22",25
"GO:0003735","MF","GO:0003735","structural constituent of ribosome","71/691","152/7719",3.87969651680095e-35,5.996717582802e-32,5.94206150731093e-32,"Rpl26/Rps27/Mrpl23/Uba52/Mrpl20/Rpl13/Rpl41/Rplp1/Rps14/Rpl34-ps1/Rpl18a/Rpl7a/Rps27rt/Rpl38/Rps17/Rps12/Rps15/Rps15a/Rpl32/Rps18/Mrpl52/Rpsa/Mrpl27/Rpl18/Rpl35/Rps29/Rps19/Rpl39/Rpl14/Rps21/Rpl27/Rps25/Rpl37a/Rps27a/Rpl36/Rps26/Rps23/Mrps14/Rps7/Rpl27a/Fau/Rpl12/Rpl34/Mrpl28/Rps16/Rpl11/Rps3/Rpl37/Mrps18a/Rps8/Rpl19/Rpl30/Rps24/Mrps21/Rps28/Mrpl41/Mrps24/Rps27l/Rpl13a/Mrpl32/Rps20/Ndufa7/Rpl31/Rpl24/Rps2/Rps11/Rpl23a/Ubb/Rps5/Rps9/Rplp0",71
"GO:0004601","MF","GO:0004601","peroxidase activity","9/691","22/7719",5.98768746092521e-05,0.00315510304048979,0.00312634638360509,"Selenof/Mgst1/Gpx4/Gstk1/Mgst3/Prdx1/Gpx8/Gpx1/Park7",9
"GO:0016209","MF","GO:0016209","antioxidant activity","11/691","34/7719",0.000114544527648893,0.00571121478180555,0.00565916087365498,"Selenof/Mgst1/Gpx4/Gstk1/Mgst3/Prdx1/Gpx8/Gpx1/Apoe/Selenow/Park7",11
"GO:0031386","MF","GO:0031386","protein tag activity","6/691","11/7719",0.000157104339153131,0.00721280020448584,0.0071470603481336,"Uba52/Rps27a/Fau/Nedd8/Ubl5/Ubb",6
"GO:0141047","MF","GO:0141047","molecular tag activity","6/691","11/7719",0.000157104339153131,0.00721280020448584,0.0071470603481336,"Uba52/Rps27a/Fau/Nedd8/Ubl5/Ubb",6
