"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006887","BP","GO:0006887","exocytosis","23/400","210/7719",0.000518217725362065,0.0544005226457463,0.0514061593228836,"Mical1/Anxa1/Bcr/Rab3c/Prkcb/Erc1/Myo5a/Pak1/Braf/Sv2b/Napb/Scamp1/Rab15/Snap29/Arl8b/Synj1/Snx4/Ppfia2/Exoc6/Dnm1l/Fbxo45/Exoc3/Sacm1l",23
"GO:0060627","BP","GO:0060627","regulation of vesicle-mediated transport","32/400","339/7719",0.000676029008197673,0.0688183514405027,0.0650303887983932,"Pot1b/Mical1/Anxa1/Aak1/Bcr/Ahi1/Rab3c/Atad1/Itgav/Prkcb/Dnajc13/Dgkd/Erc1/Myo5a/Braf/Sv2b/Cd47/Napb/Plk2/Rab15/Cbll1/Snap29/Synj1/Snx4/Zdhhc2/Mapk1/Ppfia2/Dnm1l/Fbxo45/Pros1/Inpp5f/Ppp3ca",32
"GO:0120035","BP","GO:0120035","regulation of plasma membrane bounded cell projection organization","41/400","472/7719",0.000686778739710166,0.0688183514405027,0.0650303887983932,"Mphosph9/Mycbp2/Negr1/Ntrk3/Golga4/Ahi1/Pum2/Grin2b/Tbr1/Epha4/Pak3/Tnr/Pak1/Braf/Dnm3/Atf1/Camsap2/Apc/Map2/Hdac4/Crtc1/Enc1/Plppr5/Nefm/Shoc2/Rufy3/Dpysl3/Prkci/Ppfia2/Thoc2/Dnm1l/Epha7/Ttc3/Bcl11a/Cd44/Nrcam/Inpp5f/Map1b/Serpini1/Cntn1/Ppp3ca",41
"GO:0048638","BP","GO:0048638","regulation of developmental growth","22/400","202/7719",0.000736358999919907,0.0718648224223722,0.0679091731381383,"Cpne5/Mycbp2/Plcb1/Mef2c/Ntrk3/Jarid2/Golga4/Ncor1/Pum2/Tnr/Cdkn1a/Pak1/Apc/Map2/Afg3l2/Rufy3/Mapk1/Mecp2/Epha7/Ttc3/Bcl11a/Map1b",22
"GO:0050808","BP","GO:0050808","synapse organization","33/400","358/7719",0.000846361689185621,0.0746321737523881,0.0705242013851934,"Mdga2/Mycbp2/Negr1/Lrrc24/Mef2c/Ntrk3/Malat1/Lrrn3/Cdh9/Grin2b/Epha4/Pak3/Tnr/Grm5/Grin2a/Erc1/Myo5a/Pak1/Dnm3/Nrxn3/Frrs1l/Pcdh17/Afg3l2/Dgkb/Zdhhc2/Ppfia2/Flrt3/Dnm1l/Mecp2/Epha7/Fbxo45/Nrcam/Chmp2b",33
"GO:0008053","BP","GO:0008053","mitochondrial fusion","6/400","23/7719",0.000885948042566399,0.0751181715322164,0.0709834484307248,"Huwe1/Gdap1/Miga1/Tfrc/Afg3l2/Dnm1l",6
"GO:0031113","BP","GO:0031113","regulation of microtubule polymerization","8/400","41/7719",0.00102381158230823,0.0778273321792585,0.0735434889796004,"Gda/Pak1/Akap9/Camsap2/Apc/Map2/Mecp2/Map1b",8
"GO:0098978","CC","GO:0098978","glutamatergic synapse","47/400","468/7719",7.24460809045119e-06,0.00399268463384991,0.00377291563447445,"Mdga2/Dgke/Plcb1/Ntrk3/Bcr/Cdh9/Grin2b/Epha4/Pak3/Atad1/Tnr/Grm5/Grin2a/Erc1/Dgki/Slc2a3/Mal2/Myo5a/Pak1/Akap9/Cacna2d1/Dnm3/Prkar2b/Sv2b/Napb/Map2/Nrxn3/Crtc1/Prkce/Pcdh17/Synj1/Dgkb/Prkci/Kcnma1/Ppfia2/Flrt3/Dynll2/Mecp2/Epha7/Fbxo45/Nrcam/Sptbn1/Dlgap1/Kpna1/Sacm1l/Chmp2b/Ppp3ca",47
"GO:0098984","CC","GO:0098984","neuron to neuron synapse","35/400","332/7719",4.22491141492122e-05,0.0109239884175651,0.0103227002558696,"Slc8a1/Synpr/Bcr/Cdh9/Grin2b/Epha4/Pak3/Tnr/Grm5/Grin2a/Erc1/Dgki/Mal2/Pak1/Akap9/Dclk1/Dnm3/Map2/Crtc1/Nefm/Dst/Dgkb/Zdhhc2/Pcbp2/Mapk1/Flrt3/Dynll2/Epha7/Fbxo45/Nrcam/Sptbn1/Map1b/Dlgap1/Kpna1/Chmp2b",35
"GO:0099572","CC","GO:0099572","postsynaptic specialization","33/400","309/7719",5.44280386438236e-05,0.011427296303839,0.0107983046091355,"Slc8a1/Bcr/Grin2b/Epha4/Pak3/Grm5/Grin2a/Erc1/Dgki/Pak1/Akap9/Dclk1/Dnm3/Map2/Crtc1/Gabrb1/Nefm/Dst/Dgkb/Zdhhc2/Pcbp2/Mapk1/Ppfia2/Flrt3/Dynll2/Epha7/Fbxo45/Nrcam/Sptbn1/Map1b/Dlgap1/Kpna1/Chmp2b",33
"GO:0097060","CC","GO:0097060","synaptic membrane","32/400","308/7719",0.000119701345046522,0.0188486867967899,0.0178112001388773,"Slc8a1/Ntrk3/Anxa1/Cdh9/Grin2b/Epha4/Atad1/Grm5/Grin2a/Dgki/Slc2a3/Akap9/Cacna2d1/Dnm3/Napb/Nrxn3/Gabrb1/Cadm3/Pcdh17/Synj1/Dgkb/Kcnma1/Ppfia2/Flrt3/Dnm1l/Epha7/Fbxo45/Nrcam/Exoc3/Cltc/Dlgap1/Cntn1",32
"GO:0005875","CC","GO:0005875","microtubule associated complex","12/400","70/7719",0.000219248909765854,0.0284314247987544,0.0268664763112461,"Kif5c/Dync1li2/Map2/Kif21a/Dync1h1/Katnal1/Snx4/Haus2/Dynll2/Tpr/Kif1b/Map1b",12
"GO:0030424","CC","GO:0030424","axon","40/400","459/7719",0.000749780410848066,0.0718648224223722,0.0679091731381383,"Scn3a/Mical1/Mycbp2/Slc8a1/Ntrk3/Kif5c/Aak1/Cdh9/Grin2b/Nfib/Epha4/Ccsap/Prkcb/Grin2a/Dgki/Uhmk1/Myo5a/Pak1/Map9/Dclk1/Dnm3/Apc/Map2/Ptprk/Nefm/Dst/Arl8b/Dync1h1/Rufy3/Dpysl3/Kcnma1/Mapk1/Flrt3/Kif1b/Nrcam/Inpp5f/Sptbn1/Map1b/Maco1/Cntn1",40
"GO:0016773","MF","GO:0016773","phosphotransferase activity, alcohol group as acceptor","33/400","290/7719",1.48516215588855e-05,0.00654807994531261,0.00618765454000724,"Cdk12/Dgke/Ntrk3/Aak1/Bcr/Epha4/Pak3/Srpk2/Prkcb/Cdkn1a/Csnk1g1/Dgkd/Dgki/Uhmk1/Riok1/Pak1/Taok1/Dclk1/Braf/Taok3/Pgm2l1/Plk2/Tlk1/Hipk3/Pdxk/Prkce/Dstyk/Dgkb/Prkci/Mapk1/Prkacb/Mmd/Epha7",33
"GO:0004672","MF","GO:0004672","protein kinase activity","27/400","244/7719",0.000145040607303584,0.0220511737103967,0.0208374128387509,"Cdk12/Ntrk3/Aak1/Bcr/Epha4/Pak3/Srpk2/Prkcb/Cdkn1a/Csnk1g1/Uhmk1/Riok1/Pak1/Taok1/Dclk1/Braf/Taok3/Plk2/Tlk1/Hipk3/Prkce/Dstyk/Prkci/Mapk1/Prkacb/Mmd/Epha7",27
"GO:0003690","MF","GO:0003690","double-stranded DNA binding","44/400","492/7719",0.000229906590439977,0.0289616616357102,0.027367527367261,"Zbtb43/Myt1/Zfp229/Baz2a/Zfp260/Peg3/Zfp943/Nrip1/Mef2c/Zfp367/Ncor1/Orc5/Tbr1/Nfib/Zfp110/Zfp623/Zfp617/Arid4b/Tbpl1/Myt1l/Zfp263/Zfp131/Zfp397/Polr2a/Zfp955b/Atf1/Nr2c2/Purb/Hdac4/Pbx1/Zbtb20/Zbtb18/Zfp12/Ash2l/Neurod1/Msh2/Mapk1/Mecp2/Klf7/Bcl11a/Rfx3/Fos/Tiparp/Zmynd11",44
"GO:0000981","MF","GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific","32/400","329/7719",0.000400567369363003,0.044152538288037,0.0417222538931254,"Zbtb43/Myt1/Zfp229/Zfp260/Peg3/Zfp943/Mef2c/Zfp367/Rlf/Tbr1/Nfib/Zfp110/Zfp623/Zfp617/Ylpm1/Myt1l/Zfp263/Zfp131/Zfp397/Zfp955b/Atf1/Nr2c2/Purb/Pbx1/Zbtb20/Zbtb18/Zfp12/Neurod1/Klf7/Bcl11a/Rfx3/Fos",32
"GO:0001067","MF","GO:0001067","transcription regulatory region nucleic acid binding","38/400","437/7719",0.00105905012854986,0.0791415596063782,0.0747853774986678,"Zbtb43/Myt1/Zfp229/Baz2a/Zfp260/Peg3/Zfp943/Nrip1/Mef2c/Zfp367/Ncor1/Tbr1/Nfib/Zfp110/Zfp623/Zfp617/Arid4b/Tbpl1/Myt1l/Zfp263/Zfp131/Zfp397/Polr2a/Zfp955b/Atf1/Nr2c2/Purb/Hdac4/Pbx1/Zbtb20/Zfp12/Ash2l/Neurod1/Klf7/Bcl11a/Rfx3/Fos/Tiparp",38
