image_id,bin,cbc_mean_score,cbc_positive_fraction,n_points
1hrCLTPBIP_010_d3.tif_d1_localizations.csv,0_30,0.29934904733607604,0.26666666666666666,45
1hrCLTPBIP_010_d3.tif_d1_localizations.csv,30_60,0.3418948199035867,0.4166666666666667,24
1hrCLTPBIP_010_d3.tif_d1_localizations.csv,60_90,0.0,0.0,2
1hrCLTPBIP_010_d3.tif_d1_localizations.csv,90_120,0.0,0.0,0
1hrCLTPBIP_010_d4.tif_d1_localizations.csv,whole_image,0.2646381035722722,0.21428571428571427,42
1hrCLTPBIP_010_d4.tif_d1_localizations.csv,0_30,0.2646381035722722,0.21428571428571427,42
1hrCLTPBIP_010_d4.tif_d1_localizations.csv,30_60,0.0,0.0,0
1hrCLTPBIP_010_d4.tif_d1_localizations.csv,60_90,0.0,0.0,0
1hrCLTPBIP_010_d4.tif_d1_localizations.csv,90_120,0.0,0.0,0
1hrCLTPBIP_010_d5.tif_d1_localizations.csv,whole_image,0.5202109207796617,0.6,125
1hrCLTPBIP_010_d5.tif_d1_localizations.csv,0_30,0.5952554433110436,0.6962025316455697,79
1hrCLTPBIP_010_d5.tif_d1_localizations.csv,30_60,0.39384279547799006,0.48148148148148145,27
1hrCLTPBIP_010_d5.tif_d1_localizations.csv,60_90,0.3877594525252392,0.3684210526315789,19
1hrCLTPBIP_010_d5.tif_d1_localizations.csv,90_120,0.0,0.0,0
1hrCLTPBIP_010_d6.tif_d1_localizations.csv,whole_image,0.34522900666055784,0.36666666666666664,60
1hrCLTPBIP_010_d6.tif_d1_localizations.csv,0_30,0.41652013632876067,0.4583333333333333,48
1hrCLTPBIP_010_d6.tif_d1_localizations.csv,30_60,0.06552489598663244,0.0,11
1hrCLTPBIP_010_d6.tif_d1_localizations.csv,60_90,0.0,0.0,1
1hrCLTPBIP_010_d6.tif_d1_localizations.csv,90_120,0.0,0.0,0
1hrCLTPBIP_012_d1.tif_d1_localizations.csv,whole_image,0.0,0.0,17
1hrCLTPBIP_012_d1.tif_d1_localizations.csv,0_30,0.0,0.0,8
1hrCLTPBIP_012_d1.tif_d1_localizations.csv,30_60,0.0,0.0,4
1hrCLTPBIP_012_d1.tif_d1_localizations.csv,60_90,0.0,0.0,5
1hrCLTPBIP_012_d1.tif_d1_localizations.csv,90_120,0.0,0.0,0
1hrCLTPBIP_012_d2.tif_d1_localizations.csv,whole_image,0.24122607038792138,0.25,16
1hrCLTPBIP_012_d2.tif_d1_localizations.csv,0_30,0.42884634735630467,0.4444444444444444,9
1hrCLTPBIP_012_d2.tif_d1_localizations.csv,30_60,0.0,0.0,4
