image_id,channel,x_um,y_um,cbc_score
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,actin,0.537212,0.9717045,0.0
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,actin,20.8066755,0.9634105,0.0
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,actin,1.431157,1.37397,0.0
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,actin,17.485858,1.592435,0.0
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,actin,9.0326925,1.610167,0.0
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,actin,25.6774895,1.6511755,0.0
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,actin,15.8743975,1.88591,0.0
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,actin,13.0637845,2.108184,0.0
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,actin,15.1867495,2.1442525,0.0
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,actin,29.3955155,2.1557185,0.5418379918014934
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,actin,16.3744295,3.1211635,0.0
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,actin,4.664062,3.1463705,0.0
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,actin,4.9136295,1.5279225,0.5682789284198061
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,actin,7.3018075,1.6748095,0.5363758688336849
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,actin,6.557395,2.4730225,0.46953011269497535
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,actin,9.4387215,2.7902875,0.0
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,actin,6.7431715,1.1451505,0.6986260600900593
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,actin,8.6498035,1.8073705,0.0
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,actin,10.600759,2.3098205,0.36735720095079794
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,actin,47.6331505,2.362425,0.0
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,actin,8.392982,1.695278,0.0
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,actin,3.078842,2.6298415,0.0
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,arc,40.8153005,0.5355415,0.0
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,arc,52.261027,2.684136,0.0
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,arc,24.0274125,2.962063,0.0
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,arc,5.332704,0.6760845,0.5545682708887665
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,arc,11.198603,0.9239035,0.0
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,arc,29.985514,1.3752895,0.6655425881250618
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,arc,6.3103885,1.5086305,0.6487952800335245
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,arc,28.538809,1.814488,0.5954293887144283
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,arc,31.047341,1.8245695,0.4761935371614431
1hrCLTPBIP_001_d2.tif_d1_localizations.csv,arc,33.5838165,2.1551855,0.0
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,actin,22.415705,2.343874,0.3234595443096514
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,actin,26.256516,2.7691755,0.0
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,actin,6.3397555,3.897322,0.34909417292212214
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,actin,22.0113075,3.97696,0.550560631441494
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,actin,14.5050165,4.6119125,0.0
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,actin,20.9174095,2.5198225,0.7351767275807305
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,actin,7.4760985,2.693574,0.6416798464321835
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,actin,25.812176,3.060096,0.0
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,actin,43.0306955,3.306017,0.0
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,actin,10.066927,3.4073975,0.4142748068633263
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,actin,47.397285,3.356366,0.44430411534995123
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,actin,45.5179335,3.407963,0.0
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,actin,12.2063695,4.1685605,0.48946800110757266
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,actin,40.0090405,2.548351,0.0
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,actin,34.847982,2.6054665,0.0
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,actin,35.056307,2.900859,0.0
1hrCLTPBIP_002_d1.tif_d1_localizations.csv,actin,53.084434,3.126877,0.0
