bin,mean,sd,sem,n_images
whole_image,0.23671878134328153,0.18534736224075704,0.02476808310882836,56
0_30,0.2849283364817638,0.2201372950802487,0.02941708343719455,56
30_60,0.060119578845310655,0.11821556070527973,0.01579721878373333,56
60_90,0.010524843777155539,0.05393738717975344,0.007207686541586091,56
90_120,0.0031404011804946007,0.02350061054886246,0.003140401180494601,56
