bin,observed_mean,observed_sd,observed_sem,null_mean,null_sd,delta_vs_null,z_score,p_value_enrichment,null_ci_low,null_ci_high,n_images
whole_image,0.02169870950017573,0.033223623572735055,0.005615817363999134,0.01500360549948432,0.004375113569031463,0.006695104000691411,1.5302697621569474,0.0687862427514497,0.006992646385984915,0.023886438107106587,35
0_40,0.026930463525025806,0.047023325650299326,0.007948392748967012,0.01837718437606238,0.0055446709093181215,0.008553279148963425,1.542612589430542,0.06778644271145771,0.008335968275678,0.02956614126502301,35
40_80,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,21
80_120,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,5
120_160,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,2
