image_id,bin,eligible_for_summary,actin_n,arc_n,total_puncta,actin_assoc_n,arc_assoc_n,total_assoc_puncta,pair_count,coassoc_freq
PP7-Cy5_MS2Cy3_TTX60'w+B6_w2CY3-100_s1_d3.tif_d1_localizations,whole_image,True,28,15,43,0,0,0,0,0.0
PP7-Cy5_MS2Cy3_TTX60'w+B6_w2CY3-100_s1_d3.tif_d1_localizations,0_40,True,6,12,18,0,0,0,0,0.0
PP7-Cy5_MS2Cy3_TTX60'w+B6_w2CY3-100_s1_d3.tif_d1_localizations,40_80,True,22,3,25,0,0,0,0,0.0
PP7-Cy5_MS2Cy3_TTX60'w+B6_w2CY3-100_s1_d3.tif_d1_localizations,80_120,False,0,0,0,0,0,0,0,0.0
PP7-Cy5_MS2Cy3_TTX60'w+B6_w2CY3-100_s1_d3.tif_d1_localizations,120_160,False,0,0,0,0,0,0,0,0.0
PP7-Cy5_MS2Cy3_TTX60'w2_w2CY3-100_s1_d1.tif_d1_localizations,whole_image,True,10,18,28,0,0,0,0,0.0
PP7-Cy5_MS2Cy3_TTX60'w2_w2CY3-100_s1_d1.tif_d1_localizations,0_40,True,9,15,24,0,0,0,0,0.0
PP7-Cy5_MS2Cy3_TTX60'w2_w2CY3-100_s1_d1.tif_d1_localizations,40_80,False,1,3,4,0,0,0,0,0.0
PP7-Cy5_MS2Cy3_TTX60'w2_w2CY3-100_s1_d1.tif_d1_localizations,80_120,False,0,0,0,0,0,0,0,0.0
PP7-Cy5_MS2Cy3_TTX60'w2_w2CY3-100_s1_d1.tif_d1_localizations,120_160,False,0,0,0,0,0,0,0,0.0
PP7-Cy5_MS2Cy3_TTX60'w2_w2CY3-100_s1_d3.tif_d1_localizations,whole_image,True,7,45,52,1,1,2,1,0.038461538461538464
PP7-Cy5_MS2Cy3_TTX60'w2_w2CY3-100_s1_d3.tif_d1_localizations,0_40,True,4,35,39,1,1,2,1,0.05128205128205128
PP7-Cy5_MS2Cy3_TTX60'w2_w2CY3-100_s1_d3.tif_d1_localizations,40_80,True,0,5,5,0,0,0,0,0.0
PP7-Cy5_MS2Cy3_TTX60'w2_w2CY3-100_s1_d3.tif_d1_localizations,80_120,True,1,4,5,0,0,0,0,0.0
PP7-Cy5_MS2Cy3_TTX60'w2_w2CY3-100_s1_d3.tif_d1_localizations,120_160,False,2,1,3,0,0,0,0,0.0
PP7-Cy5_MS2Cy3_TTX60'w2_w2CY3-100_s1_d4.tif_d1_localizations,whole_image,True,8,9,17,0,0,0,0,0.0
PP7-Cy5_MS2Cy3_TTX60'w2_w2CY3-100_s1_d4.tif_d1_localizations,0_40,True,3,4,7,0,0,0,0,0.0
PP7-Cy5_MS2Cy3_TTX60'w2_w2CY3-100_s1_d4.tif_d1_localizations,40_80,True,4,5,9,0,0,0,0,0.0
PP7-Cy5_MS2Cy3_TTX60'w2_w2CY3-100_s1_d4.tif_d1_localizations,80_120,False,1,0,1,0,0,0,0,0.0
PP7-Cy5_MS2Cy3_TTX60'w2_w2CY3-100_s1_d4.tif_d1_localizations,120_160,False,0,0,0,0,0,0,0,0.0
PP7-Cy5_MS2Cy3_TTX60'w4_w2CY5-100-stitch_s1_d1.tif_d1_localizations,whole_image,True,66,38,104,5,3,8,5,0.07692307692307693
PP7-Cy5_MS2Cy3_TTX60'w4_w2CY5-100-stitch_s1_d1.tif_d1_localizations,0_40,True,45,26,71,5,3,8,5,0.11267605633802817
PP7-Cy5_MS2Cy3_TTX60'w4_w2CY5-100-stitch_s1_d1.tif_d1_localizations,40_80,True,10,7,17,0,0,0,0,0.0
PP7-Cy5_MS2Cy3_TTX60'w4_w2CY5-100-stitch_s1_d1.tif_d1_localizations,80_120,True,10,4,14,0,0,0,0,0.0
PP7-Cy5_MS2Cy3_TTX60'w4_w2CY5-100-stitch_s1_d1.tif_d1_localizations,120_160,False,1,1,2,0,0,0,0,0.0
PP7-Cy5_MS2Cy3_TTX60'w5_w1CY5-100_s1_d1.tif_d1_localizations,whole_image,True,10,7,17,0,0,0,0,0.0
PP7-Cy5_MS2Cy3_TTX60'w5_w1CY5-100_s1_d1.tif_d1_localizations,0_40,True,8,7,15,0,0,0,0,0.0
PP7-Cy5_MS2Cy3_TTX60'w5_w1CY5-100_s1_d1.tif_d1_localizations,40_80,False,2,0,2,0,0,0,0,0.0
PP7-Cy5_MS2Cy3_TTX60'w5_w1CY5-100_s1_d1.tif_d1_localizations,80_120,False,0,0,0,0,0,0,0,0.0
