threshold_um,null_model,region,xmin_um,xmax_um,actin_total,arc_total,observed_pairs,actin_match_fraction,arc_match_fraction,dice_fraction,null_pairs_mean,null_pairs_ci_low,null_pairs_ci_high,null_actin_match_fraction_mean,null_arc_match_fraction_mean,null_dice_fraction_mean,enrichment_vs_null,empirical_p_enrichment
0.1,fix_x_permute_yz,whole_image,-inf,inf,1605,559,108,0.0672897196261682,0.1932021466905187,0.099815157116451,6.522,2.0,12.0,0.0040635514018691,0.0116672629695885,0.0060277264325323,16.55933762649494,0.0004997501249375
0.1,permute_x_fix_yz,whole_image,-inf,inf,1605,559,108,0.0672897196261682,0.1932021466905187,0.099815157116451,9.9065,4.0,16.0,0.0061722741433021,0.0177218246869409,0.00915573012939,10.901933074244184,0.0004997501249375
0.1,shift_x_circular,whole_image,-inf,inf,1605,559,108,0.0672897196261682,0.1932021466905187,0.099815157116451,1.8205,0.0,8.0,0.0011342679127725,0.0032567084078711,0.0016825323475046,59.32436143916507,0.0004997501249375
0.1,shuffle_arc_between_images,whole_image,-inf,inf,1605,559,108,0.0672897196261682,0.1932021466905187,0.099815157116451,2.6915,0.0,14.0,0.0016769470404984,0.0048148479427549,0.0024875231053604,40.12632361136912,0.0004997501249375
0.1,fix_x_permute_yz,x_ge_50,50.0,inf,248,66,9,0.0362903225806451,0.1363636363636363,0.0573248407643312,0.31,0.0,2.0,0.00125,0.0046969696969696,0.0019745222929936,29.032258064516128,0.0004997501249375
0.1,permute_x_fix_yz,x_ge_50,50.0,inf,248,66,9,0.0362903225806451,0.1363636363636363,0.0573248407643312,0.462,0.0,2.0,0.0018629032258064,0.007,0.0029426751592356,19.48051948051948,0.0004997501249375
0.1,shift_x_circular,x_ge_50,50.0,inf,248,66,9,0.0362903225806451,0.1363636363636363,0.0573248407643312,0.2745,0.0,2.0,0.0011068548387096,0.0041590909090909,0.0017484076433121,32.78688524590164,0.0014992503748125
0.1,shuffle_arc_between_images,x_ge_50,50.0,inf,248,66,9,0.0362903225806451,0.1363636363636363,0.0573248407643312,0.1855,0.0,2.0,0.0007479838709677,0.002810606060606,0.0011815286624203,48.517520215633425,0.0004997501249375
0.1,fix_x_permute_yz,0_30,0.0,30.0,1062,408,84,0.0790960451977401,0.2058823529411764,0.1142857142857142,5.268,1.0,10.0,0.0049604519774011,0.0129117647058823,0.0071673469387755,15.945330296127564,0.0004997501249375
0.1,permute_x_fix_yz,0_30,0.0,30.0,1062,408,84,0.0790960451977401,0.2058823529411764,0.1142857142857142,8.291,3.0,14.0,0.007806967984934,0.0203210784313725,0.0112802721088435,10.131467856712096,0.0004997501249375
0.1,shift_x_circular,0_30,0.0,30.0,1062,408,84,0.0790960451977401,0.2058823529411764,0.1142857142857142,1.2165,0.0,6.0,0.0011454802259887,0.0029816176470588,0.0016551020408163,69.05055487053022,0.0004997501249375
0.1,shuffle_arc_between_images,0_30,0.0,30.0,1062,408,84,0.0790960451977401,0.2058823529411764,0.1142857142857142,2.1545,0.0,11.0,0.0020287193973634,0.0052806372549019,0.0029312925170068,38.988164307263865,0.0004997501249375
0.1,fix_x_permute_yz,30_60,30.0,60.0,388,116,20,0.0515463917525773,0.1724137931034483,0.0793650793650793,1.112,0.0,4.0,0.0028659793814432,0.0095862068965517,0.0044126984126984,17.985611510791365,0.0004997501249375
0.1,permute_x_fix_yz,30_60,30.0,60.0,388,116,20,0.0515463917525773,0.1724137931034483,0.0793650793650793,1.3435,0.0,4.0,0.0034626288659793,0.0115818965517241,0.0053313492063492,14.8864905098623,0.0004997501249375
0.1,shift_x_circular,30_60,30.0,60.0,388,116,20,0.0515463917525773,0.1724137931034483,0.0793650793650793,0.4105,0.0,2.0,0.0010579896907216,0.0035387931034482,0.0016289682539682,48.721071863581,0.0004997501249375
0.1,shuffle_arc_between_images,30_60,30.0,60.0,388,116,20,0.0515463917525773,0.1724137931034483,0.0793650793650793,0.4605,0.0,5.0,0.001186855670103,0.0039698275862068,0.0018273809523809,43.43105320304017,0.0004997501249375
0.1,fix_x_permute_yz,60_90,60.0,90.0,134,28,3,0.0223880597014925,0.1071428571428571,0.037037037037037,0.1265,0.0,1.0,0.0009440298507462,0.0045178571428571,0.0015617283950617,23.715415019762844,0.0004997501249375
0.1,permute_x_fix_yz,60_90,60.0,90.0,134,28,3,0.0223880597014925,0.1071428571428571,0.037037037037037,0.2555,0.0,1.0,0.0019067164179104,0.009125,0.0031543209876543,11.741682974559687,0.0004997501249375
0.1,shift_x_circular,60_90,60.0,90.0,134,28,3,0.0223880597014925,0.1071428571428571,0.037037037037037,0.1535,0.0,1.0,0.0011455223880597,0.0054821428571428,0.001895061728395,19.54397394136808,0.0024987506246876
0.1,shuffle_arc_between_images,60_90,60.0,90.0,134,28,3,0.0223880597014925,0.1071428571428571,0.037037037037037,0.0545,0.0,1.0,0.0004067164179104,0.0019464285714285,0.0006728395061728,55.04587155963303,0.000999500249875
0.1,fix_x_permute_yz,90_120,90.0,120.0,20,6,1,0.05,0.1666666666666666,0.0769230769230769,0.0155,0.0,0.0,0.000775,0.0025833333333333,0.0011923076923076,64.51612903225806,0.015992003998001
0.1,permute_x_fix_yz,90_120,90.0,120.0,20,6,1,0.05,0.1666666666666666,0.0769230769230769,0.0165,0.0,0.0,0.000825,0.00275,0.0012692307692307,60.6060606060606,0.016991504247876
0.1,shift_x_circular,90_120,90.0,120.0,20,6,1,0.05,0.1666666666666666,0.0769230769230769,0.0245,0.0,0.0,0.001225,0.0040833333333333,0.0018846153846153,40.81632653061224,0.0214892553723138
0.1,shuffle_arc_between_images,90_120,90.0,120.0,20,6,1,0.05,0.1666666666666666,0.0769230769230769,0.022,0.0,0.0,0.0010999999999999,0.0036666666666666,0.0016923076923076,45.45454545454546,0.0224887556221889
