"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0120316","GO:0120316","sperm flagellum assembly",22,0.731683164258713,1.81614382284017,0.00297351697670013,0.0900951982879793,0.0816652382142503,1401,"tags=41%, list=13%, signal=36%","330830/207686/104362/100048534/69707/17427/320244/69329/232943"
"GO:0010875","GO:0010875","positive regulation of cholesterol efflux",15,0.791676125835022,1.79567095299735,0.00301673908183674,0.0906092756177709,0.0821312147412543,849,"tags=33%, list=8%, signal=31%","18830/83433/11816/11303/27403"
"GO:0042428","GO:0042428","serotonin metabolic process",11,-0.76827939822433,-1.7136886328711,0.00313335430602195,0.0919358754761121,0.0833336882970607,1115,"tags=36%, list=10%, signal=33%","56448/11941/14811/224671"
"GO:0042430","GO:0042430","indole-containing compound metabolic process",11,-0.76827939822433,-1.7136886328711,0.00313335430602195,0.0919358754761121,0.0833336882970607,1115,"tags=36%, list=10%, signal=33%","56448/11941/14811/224671"
"GO:0061577","GO:0061577","calcium ion transmembrane transport via high voltage-gated calcium channel",11,-0.768259397067737,-1.7136440192126,0.00313335430602195,0.0919358754761121,0.0833336882970607,2098,"tags=100%, list=20%, signal=81%","108058/225055/14381/30948/68795/12297/12295/12293/12296/228071"
"GO:0019730","GO:0019730","antimicrobial humoral response",38,0.654001599007663,1.79300013358768,0.00315739956076502,0.0921089664968002,0.0834905836666902,1080,"tags=34%, list=10%, signal=31%","11535/71660/16854/58809/67701/15331/14433/15007/11727/20311/12051/12010/109648"
"GO:0051250","GO:0051250","negative regulation of lymphocyte activation",74,0.561061557750415,1.69965268841107,0.00326015295530273,0.0940257750063446,0.0852280416724177,1453,"tags=27%, list=14%, signal=24%","17289/21929/19122/26365/16854/12484/15289/15507/14130/15223/13383/57432/17242/15354/22174/170823/16988/71228/20535/16950"
"GO:0001666","GO:0001666","response to hypoxia",154,0.470511005437915,1.56565568434061,0.00324346004627344,0.0940257750063446,0.0852280416724177,1234,"tags=22%, list=12%, signal=20%","13058/70186/112407/83433/18654/228026/22228/12484/20528/11555/13806/52538/16542/12176/72018/17751/18655/12494/12955/22339/110893/56295/64383/112405/228139/11727/17189/21809/17846/11639/15369/211488/16173/66214"
"GO:0006911","GO:0006911","phagocytosis, engulfment",29,0.688121336411463,1.79498998554073,0.00336415042535796,0.0963680985062923,0.0873512004004404,902,"tags=28%, list=8%, signal=25%","83433/227753/11303/14131/14130/12266/27403/381560"
"GO:0002456","GO:0002456","T cell mediated immunity",59,0.56708157780876,1.6640229408429,0.00337933836369583,0.0963680985062923,0.0873512004004404,1169,"tags=22%, list=11%, signal=20%","13036/18439/13731/12484/16176/15289/15007/22030/12520/13383/26409/12010/16173"
"GO:0043116","GO:0043116","negative regulation of vascular permeability",17,0.767430022162407,1.79526244080673,0.00344591003165478,0.0969288548237593,0.087859488290542,763,"tags=35%, list=7%, signal=33%","11535/11816/26365/11600/22339/83397"
"GO:0001906","GO:0001906","cell killing",84,0.524394523012968,1.62454979701289,0.00345628895254145,0.0969288548237593,0.087859488290542,1169,"tags=20%, list=11%, signal=18%","13036/18439/11765/13731/26365/16854/15331/14433/15007/14131/17105/12266/20311/17969/12010/16783/16173"
"GO:0034329","GO:0034329","cell junction assembly",316,-0.307038020169021,-1.31899668241781,0.003442233100483,0.0969288548237593,0.087859488290542,1804,"tags=25%, list=17%, signal=21%","21872/16480/12558/320873/320840/76089/12340/16981/29875/64085/14168/18223/211134/18191/241638/74342/216028/18260/56233/20779/103967/19211/192167/15569/76108/22421/211187/232370/107932/105352/56013/73340/14270/216805/19272/70546/67703/18164/208643/15898/13643/18222/243499/20354/11444/18213/320772/14758/73728/18189/14402/11519/330814/268882/20320/105689/19699/14401/329165/13829/236915/70237/18163/13841/19229/17257/226359/14799/225872/14394/11461/71436/76499/217335/17260/107065/12564/12565"
"GO:0035235","GO:0035235","ionotropic glutamate receptor signaling pathway",14,-0.720704432975433,-1.7522054074322,0.00356577021174433,0.0989062819388755,0.0896518929855304,1996,"tags=57%, list=19%, signal=47%","14812/545156/232975/14800/12322/14811/19229/18823"
