"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0044305","GO:0044305","calyx of Held",25,-0.638981838763035,-1.81198832133081,0.00241066141514543,0.0332363531279625,0.0288847448399284,2947,"tags=56%, list=28%, signal=41%","18750/18951/18751/16485/14299/12890/269774/16443/232975/99738/16502/16490/11539/11461"
"GO:0005814","GO:0005814","centriole",90,0.544939426092827,1.6973811795043,0.0026921172122303,0.0357794330090635,0.0310948613707748,942,"tags=19%, list=9%, signal=17%","20460/216846/75172/207175/74201/76832/11799/12332/17245/26370/76411/64383/212514/332110/330577/69871/102124"
"GO:0000151","GO:0000151","ubiquitin ligase complex",241,-0.325348733693015,-1.36695469203837,0.00283415784299916,0.0366821204768264,0.0318793607132913,1745,"tags=23%, list=16%, signal=20%","19763/114893/57439/319263/30840/29864/12418/68795/72584/52609/75785/71890/70382/68975/68431/97863/58799/73828/240756/216080/20747/30839/57443/16151/241915/52206/71833/210766/234959/242521/494448/74106/59003/268291/106021/22209/67898/50754/242418/70797/69181/214931/13803/233805/207952/69554/230904/103583/68477/50868/66863/76454/80283/245404/211255/66771"
"GO:0031312","GO:0031312","extrinsic component of organelle membrane",33,-0.577716165472818,-1.76568705034743,0.00317611012010756,0.0382303183263722,0.0332248542959862,858,"tags=45%, list=8%, signal=42%","101240/20964/20616/30948/66237/66335/73834/11964/67474/11973/74718/11966/20965/54645/75219"
"GO:0009897","GO:0009897","external side of plasma membrane",139,0.479925985009943,1.58153552829565,0.00314753857464693,0.0382303183263722,0.0332248542959862,1148,"tags=22%, list=11%, signal=20%","18439/11816/26365/16854/11747/12484/20528/11829/54199/26364/12527/11303/16542/15007/14131/21939/13030/12506/14961/14130/239188/432611/14595/16404/20686/26357/71929/14275/12010/16783"
"GO:0060077","GO:0060077","inhibitory synapse",25,-0.629811745834756,-1.78598429385528,0.00364013704764033,0.0421215858369809,0.0366066413625484,2781,"tags=52%, list=26%, signal=39%","26875/68877/216856/116838/14415/192167/243621/229521/116837/14417/18189/14402/20320"
"GO:1990351","GO:1990351","transporter complex",251,-0.322694191936444,-1.37399328488372,0.00372659622983066,0.0423655150338644,0.036818633110977,987,"tags=16%, list=9%, signal=15%","67498/80334/12297/99738/12295/66335/11980/17721/73834/12298/16502/11964/12293/110862/14400/243499/74610/11444/12724/100986/14800/14402/12296/76295/14811/16490/80906/53310/14401/228071/16519/69981/56177/19229/244723/14799/14394/14397/16518/14806"
"GO:0045121","GO:0045121","membrane raft",194,0.451918891794764,1.53834921021284,0.00388558166465274,0.04267554099483,0.0370880676287103,588,"tags=16%, list=5%, signal=15%","18828/83433/19122/13830/13731/16974/20194/22350/338367/12484/20528/104215/11600/244373/11555/15289/22146/13806/11303/16542/18655/22142/22030/13030/12506/12042/13033/13052/12306/14609/12385"
"GO:0098857","GO:0098857","membrane microdomain",194,0.451918891794764,1.53834921021284,0.00388558166465274,0.04267554099483,0.0370880676287103,588,"tags=16%, list=5%, signal=15%","18828/83433/19122/13830/13731/16974/20194/22350/338367/12484/20528/104215/11600/244373/11555/15289/22146/13806/11303/16542/18655/22142/22030/13030/12506/12042/13033/13052/12306/14609/12385"
"GO:0001669","GO:0001669","acrosomal vesicle",51,0.592463614309326,1.68918976439484,0.00431715152855548,0.0458608883689173,0.0398563600996926,1433,"tags=29%, list=13%, signal=26%","13036/214704/15504/12215/69987/242646/15212/433700/13052/12385/71233/380773/17766/84092/14827"
"GO:0060076","GO:0060076","excitatory synapse",80,-0.4306231342324,-1.56421654216794,0.0047113586639098,0.0492412970034443,0.042794174621252,1490,"tags=29%, list=14%, signal=25%","74342/192167/15569/107932/16522/11941/104015/16524/22629/229521/14183/94332/18189/243743/14811/232813/16519/320405/226359/108100/14799/19058/107065"
"GO:0030990","GO:0030990","intraciliary transport particle",23,0.692727939426602,1.74204967494221,0.0094230468130808,0.0907562792806563,0.0788736345275359,1388,"tags=30%, list=13%, signal=27%","74052/76568/76411/76779/74682/73916/68708"
"GO:0044665","GO:0044665","MLL1/2 complex",30,-0.558736423049905,-1.70212783931647,0.0101322422415569,0.0911901801740119,0.0792507251349843,2621,"tags=48%, list=24%, signal=37%","75273/56505/66310/67933/76130/269536/228980/213464/50496/76719/24074/17187/23808/228829/67772"
"GO:0071339","GO:0071339","MLL1 complex",30,-0.558736423049905,-1.70212783931647,0.0101322422415569,0.0911901801740119,0.0792507251349843,2621,"tags=48%, list=24%, signal=37%","75273/56505/66310/67933/76130/269536/228980/213464/50496/76719/24074/17187/23808/228829/67772"
