null_model,null_model_label,bin,observed_mean,observed_sd,observed_sem,null_mean,null_sd,delta_vs_null,z_score,p_value_enrichment,null_ci_low,null_ci_high,n_images
permute_xy,Permute x/y reference,whole_image,0.11459620795438809,0.1651420364887642,0.02206803288196701,0.024357506242379243,0.0062941505744704435,0.09023870171200885,14.336914988660094,0.0001999600079984003,0.013035487103104666,0.03764274788169514,56
permute_xy,Permute x/y reference,0_30,0.1198549856692543,0.18725879332968937,0.025023508832157395,0.025145503699893452,0.0065960743406056985,0.09470948196936085,14.358461878806532,0.0001999600079984003,0.013348536184588275,0.03892743822660102,56
permute_xy,Permute x/y reference,30_60,0.05365302686731258,0.13086722273747306,0.017487868237223456,0.01111527730536659,0.007034567477312492,0.04253774956194599,6.046960200344435,0.0001999600079984003,0.0010714285714285752,0.027058241857348984,56
permute_xy,Permute x/y reference,60_90,0.019841269841269844,0.10616705988571942,0.014187170137624053,0.0027226056211958464,0.004096062902712554,0.017118664220073996,4.17929719993739,0.003199360127974405,0.0,0.013784461152882205,56
permute_xy,Permute x/y reference,90_120,0.0071428571428571435,0.053452248382484885,0.007142857142857144,0.00047285714285714287,0.0017761160042264236,0.006670000000000001,3.7553853375163286,0.06638672265546891,0.0,0.0071428571428571435,56
uniform_random,Uniform random placement,whole_image,0.11459620795438809,0.1651420364887642,0.02206803288196701,0.002207040821773871,0.0018251836882756684,0.11238916713261422,61.57690749405789,0.0001999600079984003,0.0,0.006568899024256168,56
uniform_random,Uniform random placement,0_30,0.1198549856692543,0.18725879332968937,0.025023508832157395,0.002168238517607776,0.0021496955782460163,0.11768674715164652,54.74577346792039,0.0001999600079984003,0.0,0.00761857986981342,56
uniform_random,Uniform random placement,30_60,0.05365302686731258,0.13086722273747306,0.017487868237223456,0.0015439966544031336,0.0022660832546312335,0.05210903021290945,22.995196715042717,0.0001999600079984003,0.0,0.007749106611868642,56
uniform_random,Uniform random placement,60_90,0.019841269841269844,0.10616705988571942,0.014187170137624053,0.0006028300997953022,0.001663478901639177,0.01923843974147454,11.565184098528185,0.0001999600079984003,0.0,0.005019150953064146,56
uniform_random,Uniform random placement,90_120,0.0071428571428571435,0.053452248382484885,0.007142857142857144,0.0001716066045531342,0.0006744756152797846,0.006971250538304009,10.335808115779262,0.0011997600479904018,0.0,0.001984126984126984,56
resample_with_replacement,Resample puncta with replacement,whole_image,0.11459620795438809,0.1651420364887642,0.02206803288196701,0.07488631515860465,0.010751203926769573,0.039709892795783436,3.693529865702688,0.0003999200159968006,0.05399162543923926,0.09585135371443178,56
resample_with_replacement,Resample puncta with replacement,0_30,0.1198549856692543,0.18725879332968937,0.025023508832157395,0.0776528322427579,0.011663721870836745,0.0422021534264964,3.6182407205727425,0.0001999600079984003,0.05510130957734781,0.10067058312622543,56
resample_with_replacement,Resample puncta with replacement,30_60,0.05365302686731258,0.13086722273747306,0.017487868237223456,0.03188490602149502,0.011957301736844879,0.021768120845817564,1.820487709090916,0.03939212157568486,0.00980005188835699,0.05593598198483005,56
resample_with_replacement,Resample puncta with replacement,60_90,0.019841269841269844,0.10616705988571942,0.014187170137624053,0.010753539074459988,0.008279966662292212,0.009087730766809856,1.0975564440610952,0.17096580683863227,0.0,0.02747252747252747,56
resample_with_replacement,Resample puncta with replacement,90_120,0.0071428571428571435,0.053452248382484885,0.007142857142857144,0.003877405927405927,0.0051495157651433995,0.0032654512154512167,0.6341278217953534,0.3255348930213957,0.0,0.014880952380952382,56
