"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0060076","GO:0060076","excitatory synapse",66,0.548464364841607,1.89855219699082,0.000165468630277692,0.00209593598351743,0.00167210405333246,1025,"tags=35%, list=13%, signal=31%","14812/14811/104015/320127/94332/20273/192167/16522/229521/20616/12217/238276/53623/74342/243743/18189/20661/14799/20979/107932/26556/243961/19058"
"GO:0005844","GO:0005844","polysome",60,-0.631002028726201,-1.80795254038334,0.000170587127381353,0.00211379701320372,0.00168635329585228,1131,"tags=43%, list=15%, signal=37%","26443/26961/19896/20104/66483/19988/78304/54127/68193/114641/19946/66481/67025/27050/27370/19921/54217/67248/66475/20090/19899/22352/19951/67671/27176/76808"
"GO:0030658","GO:0030658","transport vesicle membrane",136,0.426046593039965,1.62489123632757,0.000290274695931167,0.00352035269533543,0.00280848082065542,1634,"tags=35%, list=21%, signal=28%","72003/14812/67295/105853/107767/11789/64176/74006/20527/67300/227648/11964/67474/229521/229706/23859/20965/108012/20404/20964/108030/14799/20979/12725/11975/14395/69162/228960/19344/22318/11980/67972/14417/240756/56807/68666/73834/216549/19027/14800/66237/66335/70495/108664/13002/68365/20907/13446"
"GO:0048786","GO:0048786","presynaptic active zone",80,0.497397657819153,1.76516848806077,0.00031842317592493,0.00378127521410854,0.00301664061402565,1509,"tags=44%, list=19%, signal=36%","14812/17957/14400/111173/327814/320127/12293/16531/20273/229521/20616/12287/12217/108073/53623/18189/20964/14799/14395/12330/20320/67972/11539/14802/238988/14415/14365/16400/233977/56216/14800/12558/245666/66625/20614"
"GO:0005905","GO:0005905","clathrin-coated pit",48,0.563346720433592,1.83985721023377,0.000329348125453582,0.00383119247976615,0.00305646380657244,862,"tags=31%, list=11%, signal=28%","269774/227333/74006/104015/67300/101490/22042/20616/239393/108012/67602/320634/15510/20661/16971"
"GO:0000786","GO:0000786","nucleosome",43,-0.649864129451651,-1.78551150817158,0.000682991988063963,0.00748664294608575,0.00597272345837312,1635,"tags=47%, list=21%, signal=37%","26914/15270/14957/404634/57741/70103/15081/78303/97114/15077/15078/69386/319149/14958/51788/319161/21427/319171/77605/50708"
"GO:0045259","GO:0045259","proton-transporting ATP synthase complex",20,-0.760806431887105,-1.78444221816193,0.000776097080835427,0.00804318792865806,0.00641672610374937,1619,"tags=80%, list=21%, signal=63%","11949/66043/67942/67126/17705/228033/28080/11958/11950/11951/11957/70257/27425/66477/71679/57423"
"GO:0005930","GO:0005930","axoneme",59,-0.596392879397842,-1.70517228627698,0.00164996732020258,0.0154177274182864,0.0123000152256689,1310,"tags=37%, list=17%, signal=31%","56350/69315/13427/75659/68721/69327/53860/213575/75564/11793/66061/56486/69310/216618/75504/227613/13036/22142/432611/75563/71233/71860"
"GO:0097014","GO:0097014","ciliary plasm",59,-0.596392879397842,-1.70517228627698,0.00164996732020258,0.0154177274182864,0.0123000152256689,1310,"tags=37%, list=17%, signal=31%","56350/69315/13427/75659/68721/69327/53860/213575/75564/11793/66061/56486/69310/216618/75504/227613/13036/22142/432611/75563/71233/71860"
"GO:0098878","GO:0098878","neurotransmitter receptor complex",30,0.62444706290962,1.84074193524552,0.00204224095442448,0.0176375355154841,0.0140709424611065,1964,"tags=57%, list=25%, signal=42%","14812/14811/83493/14807/14809/53623/14799/53310/76192/14802/13385/14800/243499/13860/72555/244723/19229"
