"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:1990204","GO:1990204","oxidoreductase complex",104,0.483197481739122,1.77761120057546,0.000360033769857468,0.00732925888638418,0.00617200748327088,1951,"tags=50%, list=25%, signal=38%","17992/66576/66414/66128/78330/68375/66218/22272/17991/68342/69875/70316/66445/67264/20135/17993/68202/102631912/66108/66152/54405/66594/66916/66377/67273/66091/68198/68194/72900/407785/66416/67834/27402/15929/66495/12040/78920/170718/110826/66052/17718/16828/17716/66694/12359/68197/107197/225887/230075/104130/66928/67184"
"GO:0016323","GO:0016323","basolateral plasma membrane",106,-0.438483113988555,-1.71150646835449,0.000427380884119151,0.00840024496372124,0.00707389049576525,911,"tags=24%, list=12%, signal=21%","319352/22782/18483/22343/20541/11539/12389/16513/20529/56508/22350/170790/108030/20501/53310/21872/67916/20525/105727/12558/98396/11829/108052/17698/12505"
"GO:0031674","GO:0031674","I band",62,-0.522682961984423,-1.86708176039306,0.000492764875838761,0.00906051545897077,0.00762990775492276,1041,"tags=32%, list=13%, signal=28%","30948/109711/67268/19055/192176/19165/20541/23950/17931/12283/18578/18810/28015/30794/208727/20525/29810/72333/13518/235281"
"GO:0016324","GO:0016324","apical plasma membrane",141,-0.40556882660606,-1.6516886547662,0.000669417537008808,0.0114519275208034,0.00964372843857129,1320,"tags=28%, list=17%, signal=23%","14102/73649/16952/211134/12297/14365/13030/229709/69048/17475/105787/224250/19165/12527/12389/11932/18642/16513/20529/56508/68365/22350/170790/20502/18810/20501/57738/21872/20525/16525/16531/67154/105727/19684/12558/102857/17698/12505/18759"
"GO:0042641","GO:0042641","actomyosin",58,-0.511238277929712,-1.80402171877781,0.00092462556457441,0.0140834879954758,0.0118597793646112,1123,"tags=34%, list=14%, signal=30%","17918/218952/19247/109711/20907/67268/13800/268709/226251/67665/77569/11461/30794/208727/26936/226751/29810/72333/13518/22793"
"GO:0045259","GO:0045259","proton-transporting ATP synthase complex",20,0.713415294022862,1.8908181535541,0.00141502733693937,0.0192236114827966,0.0161883044065655,1590,"tags=70%, list=21%, signal=56%","28080/66477/68055/57423/71679/67126/11950/11957/11949/228033/67942/70257/66043/27425"
"GO:0016469","GO:0016469","proton-transporting two-sector ATPase complex",39,0.592487138839313,1.83966472957621,0.00136800281947671,0.0192236114827966,0.0161883044065655,1590,"tags=49%, list=21%, signal=39%","28080/66477/68055/57423/71679/66290/67126/11950/11957/11949/66144/70495/11984/228033/67942/70257/66335/66043/27425"
"GO:0042383","GO:0042383","sarcolemma",77,-0.466872543201425,-1.7456897786923,0.00141647663557448,0.0192236114827966,0.0161883044065655,1573,"tags=32%, list=20%, signal=26%","16783/20266/18754/14102/16952/12297/18806/13030/11431/30948/22782/20541/16518/12389/12390/22350/18797/18810/20525/13518/19684/12558/11829/17698/12111"
"GO:0045177","GO:0045177","apical part of cell",184,-0.366671544335892,-1.54551794285525,0.00202235796281194,0.0268080009023909,0.022575158654645,1330,"tags=26%, list=17%, signal=22%","14102/20750/73649/16952/211134/12297/14365/29876/13543/13030/102098/229709/69048/17475/105787/224250/19165/12527/12389/11932/18642/16513/20529/56508/18536/68365/22350/56615/66141/170790/20502/18810/20501/57738/21872/20525/16525/16531/67154/105727/19684/12558/102857/22284/17698/12505/18759"
"GO:0098552","GO:0098552","side of membrane",228,-0.336844540116136,-1.4487722784071,0.00302035368236702,0.0382578133099822,0.0322171059452482,1370,"tags=25%, list=18%, signal=21%","56457/14102/17967/14693/14673/14678/11848/15945/66626/58223/20779/13030/11431/218952/11883/12330/235505/67792/14708/14451/19055/19243/16195/320840/14381/74585/105513/69178/12527/14782/320679/11932/14701/14184/237847/17968/68799/216344/16451/67043/16531/66593/13518/19258/105727/19414/14735/12166/14158/14964/15894/11829/17698/12505/16410/14674/12702"
"GO:0016586","GO:0016586","RSC-type complex",14,-0.726627935239777,-1.80942641656236,0.00326009027225322,0.0403967707648768,0.0340183332756857,350,"tags=43%, list=5%, signal=41%","83766/77044/11461/72057/68094/66923"
"GO:0009898","GO:0009898","cytoplasmic side of plasma membrane",93,-0.419456886069285,-1.61849682254175,0.00377219305238107,0.0447947924970252,0.0377219305238107,1290,"tags=30%, list=17%, signal=25%","14693/14673/14678/11848/20779/11431/218952/67792/14708/19055/19243/14381/105513/69178/320679/14701/14184/216344/16451/67043/66593/13518/19258/19414/14158/17698/14674/12702"
"GO:0035145","GO:0035145","exon-exon junction complex",18,-0.66135408065927,-1.7684422580377,0.00487523233481576,0.0555776486168997,0.0468022304142313,1634,"tags=39%, list=21%, signal=31%","68134/110809/19704/60365/18949/67031/103677"
"GO:0005844","GO:0005844","polysome",60,0.492945553565224,1.66449544396447,0.0054009585138673,0.0603636539785169,0.0508325507187511,1591,"tags=38%, list=21%, signal=31%","67248/114641/19899/27370/78304/19921/71701/67671/26443/19896/19951/68193/20090/67025/76808/67557/54127/19989/19988/26961/27176/14265/54217"
"GO:0009986","GO:0009986","cell surface",300,-0.307277303290388,-1.37092304712293,0.0059318552428943,0.0650222593932644,0.0547555868574858,711,"tags=14%, list=9%, signal=13%","12527/14782/18212/12389/12390/11932/12266/11517/14184/233489/237847/66141/51810/15200/20692/228136/17975/22421/21960/21872/16531/18000/19294/105727/21937/56044/76299/12558/24071/76936/15529/14735/12166/14964/15894/11829/67374/17698/12505/12111/16410/12870"
"GO:0005773","GO:0005773","vacuole",344,-0.293047897687064,-1.3171779948754,0.0064289926292578,0.0691419962014518,0.0582248389064857,1378,"tags=25%, list=18%, signal=22%","16783/107045/75909/11758/241296/209446/54525/71665/241919/11881/66848/232023/219024/70510/73649/16952/15932/80876/67804/18412/20597/12727/66626/20779/13030/17918/11883/72925/17281/15239/69660/224023/68652/52187/107173/19165/17966/68728/14269/18616/100037283/20661/14628/21871/66868/68195/105513/269338/74385/12751/12704/72124/16145/27419/70834/65114/14184/22129/68365/319642/11764/16563/66141/170790/21843/22784/235504/11993/56700/22241/17939/14387/68421/225326/67474/68942/54381/56464/14964/19300/229445/30930/15114/53599/12492/71900/29869"
"GO:0097449","GO:0097449","astrocyte projection",16,-0.674773290602736,-1.74598651610069,0.00663993773701198,0.0700882316684598,0.0590216687734398,642,"tags=50%, list=8%, signal=46%","11932/16513/22350/170790/108071/68943/14766/11829"
"GO:1902495","GO:1902495","transmembrane transporter complex",205,0.35633245372381,1.44531658037316,0.00730118511600475,0.0756668275658674,0.0637194337396778,1973,"tags=39%, list=25%, signal=30%","58869/17992/12290/66576/16511/66414/16494/72821/16526/78330/68375/66218/22272/14658/17991/68342/69875/70316/66445/66290/67264/17993/68202/12314/102631912/66108/26373/66152/54405/66594/66916/66377/66144/14807/67273/16519/14402/66091/68198/68194/72900/407785/66416/11984/228033/14799/78506/56543/16491/67942/12794/11933/268345/66335/66495/11444/12286/229725/17718/12315/14403/242443/22218/17716/66694/238161/22066/68197/107197/12287/225887/69029/13483/230075/104130/66928/70357/67184/110876/11972"
"GO:0034719","GO:0034719","SMN-Sm protein complex",14,0.699668579984941,1.69356585527122,0.00782468732142618,0.0796441388073736,0.0670687484693673,1042,"tags=57%, list=13%, signal=50%","276919/67332/20595/53975/69878/20643/68011/237221"
"GO:1905348","GO:1905348","endonuclease complex",24,0.608015506348789,1.69583914324926,0.00800466671982272,0.0800466671982272,0.0674077197458756,312,"tags=29%, list=4%, signal=28%","94223/193838/67676/52864/66132/74097/227522"
"GO:0005912","GO:0005912","adherens junction",68,-0.451395075933779,-1.65186377098532,0.00887949949903193,0.085784995160139,0.0722399959243275,814,"tags=26%, list=11%, signal=24%","22343/329165/19159/99167/22350/75785/108030/11461/30794/11789/21872/22793/19294/19684/12558/14158/17988/17698"
"GO:0000785","GO:0000785","chromatin",398,-0.285151235112239,-1.30091880011546,0.0105099651648213,0.0998446690658023,0.0840797213185704,1300,"tags=23%, list=17%, signal=20%","107771/100710/26914/12151/13445/100683/83766/21917/216848/77044/19704/12444/66979/56249/11909/74022/17257/109113/15370/233532/219158/14534/105787/22083/26429/19726/218914/76719/21849/28019/12608/20185/108829/17126/54383/268996/50927/19401/13619/105513/56505/433693/16009/229534/15902/94246/13006/58198/14055/17187/230908/67956/17999/20020/99982/67772/105246/21413/50755/20833/12648/68943/22059/11461/107932/72057/57261/71954/13653/12419/17977/208727/18600/114741/78656/18795/15251/22589/52808/20846/54194/229584/14158/16476/20817/68094/17191/217166/110052/75339/66923"
