"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0005840","GO:0005840","ribosome",212,-0.643620807048528,-2.63779453435797,1e-10,3e-09,2.17728531855956e-09,1231,"tags=49%, list=16%, signal=42%","79044/67681/20005/19896/67427/65019/94062/16898/319195/68611/27397/19982/24030/20116/67186/66258/68499/20042/107734/102462/100043813/67840/68572/94064/20088/52443/66481/66483/17973/75617/216767/114641/22121/20104/14694/267019/20091/67025/68995/22187/67941/19988/68463/68735/64660/14109/54217/26451/20103/27207/76846/68565/268449/68052/27370/121022/54127/94065/67115/27176/19921/20055/66845/68537/66230/66292/66121/64659/66475/57808/19942/27050/67270/20084/19951/68193/67281/20826/68028/19941/20054/66489/107733/20090/57294/20085/67671/19981/19899/67248/68436/270106/11815/20068/66416/67945/20044/22186/56040/14548/76808/66448/78294/17751"
"GO:0005743","GO:0005743","mitochondrial inner membrane",414,-0.588239131392561,-2.55660324470683,1e-10,3e-09,2.17728531855956e-09,1136,"tags=37%, list=15%, signal=34%","66445/94062/14151/68943/100126824/433771/11950/68611/15108/70544/12799/27397/67900/76137/67680/24030/107197/66258/70556/68499/107734/66826/26457/13804/67840/52469/70397/68346/68572/94064/66495/17706/17713/52443/30058/66271/28080/269951/216767/71803/17717/20463/16832/69186/78330/12896/66461/224904/228033/226646/75406/17993/68463/68735/64660/11951/407785/104130/595136/66449/17711/66052/69029/12040/68565/12759/17709/14356/66916/67013/11958/17716/121022/17705/94065/30055/230075/72900/66845/66928/67530/68537/66230/67388/68375/66292/66121/64659/103172/27050/66487/67713/67270/66576/26912/70316/67067/17827/12859/17991/107733/66218/66359/225887/13177/66046/223696/66414/56615/11957/67184/67942/66142/68342/66377/102631912/67130/70257/54405/68197/68194/66152/17527/27425/70456/67267/110323/67885/17992/66416/12861/66148/66477/100041273/625249/12864/12868/15159/66836/22272/71679/69875/68198/30057/12857/57423/14548/12867/17710/66448/17718/66594/55951/66091"
"GO:0015935","GO:0015935","small ribosomal subunit",72,-0.726147577966582,-2.54736752487967,1e-10,3e-09,2.17728531855956e-09,970,"tags=62%, list=12%, signal=55%","24030/20116/66258/20042/102462/100043813/20088/66481/75617/20104/14694/267019/20091/68995/22187/67941/68735/64660/14109/20103/27207/76846/68565/68052/27370/121022/54127/20055/66230/66292/66121/64659/66475/27050/67270/20084/20054/20090/57294/20085/20068/20044/22186/14548/78294"
"GO:0015934","GO:0015934","large ribosomal subunit",109,-0.687906155437257,-2.54467653732276,1e-10,3e-09,2.17728531855956e-09,1746,"tags=62%, list=22%, signal=49%","56282/19943/66480/102060/27398/19946/94066/66229/66163/68836/110954/94063/27393/67681/20005/19896/65019/94062/319195/68611/27397/19982/67186/68499/20042/107734/67840/68572/94064/52443/66483/216767/114641/22121/67025/19988/68463/54217/26451/68565/268449/94065/67115/27176/19921/66845/68537/57808/19942/67270/19951/68193/67281/20826/19941/66489/107733/67671/19981/19899/67248/68436/270106/67945/22186/56040/76808/66448"
"GO:0022625","GO:0022625","cytosolic large ribosomal subunit",56,-0.764557942204779,-2.54376785262045,1e-10,3e-09,2.17728531855956e-09,1190,"tags=64%, list=15%, signal=55%","20005/19896/65019/319195/19982/67186/20042/66483/114641/22121/67025/19988/54217/26451/268449/67115/27176/19921/57808/19942/19951/68193/67281/20826/19941/66489/67671/19981/19899/67248/68436/270106/67945/22186/56040/76808"
"GO:0019866","GO:0019866","organelle inner membrane",430,-0.581305530167197,-2.53192079855589,1e-10,3e-09,2.17728531855956e-09,1136,"tags=36%, list=15%, signal=33%","66445/94062/14151/68943/100126824/433771/11950/68611/15108/70544/12799/27397/67900/76137/67680/24030/107197/66258/70556/68499/107734/66826/26457/13804/67840/52469/70397/68346/68572/94064/66495/17706/17713/52443/30058/66271/28080/269951/216767/71803/17717/20463/16832/69186/78330/12896/66461/224904/228033/226646/75406/17993/68463/68735/64660/11951/407785/104130/595136/66449/17711/66052/69029/12040/68565/52668/12759/17709/14356/66916/67013/11958/17716/121022/17705/94065/30055/230075/72900/66845/66928/67530/68537/66230/67388/68375/66292/66121/64659/103172/27050/66487/67713/67270/66576/26912/70316/67067/17827/12859/17991/107733/66218/66359/225887/13177/66046/223696/66414/56615/11957/67184/67942/66142/68342/66377/102631912/67130/70257/54405/68197/68194/66152/17527/27425/70456/67267/110323/67885/17992/66416/12861/66148/66477/100041273/625249/12864/12868/15159/66836/22272/71679/69875/68198/30057/12857/57423/14548/12867/17710/66448/17718/66594/55951/66091"
"GO:1990204","GO:1990204","oxidoreductase complex",104,-0.688904979484103,-2.53120298608623,1e-10,3e-09,2.17728531855956e-09,696,"tags=45%, list=9%, signal=42%","17717/16832/78330/226646/75406/17993/12039/407785/104130/595136/17711/66052/12040/66916/17716/230075/72900/66928/67530/110826/68375/66576/70316/17991/66218/225887/66046/66414/67184/68342/66377/102631912/67130/54405/68197/68194/66152/17992/66416/66355/100041273/22272/69875/68198/17718/66594/66091"
"GO:0097060","GO:0097060","synaptic membrane",308,0.522592057073884,2.01229041712272,1e-10,3e-09,2.17728531855956e-09,1492,"tags=36%, list=19%, signal=31%","327814/15561/14807/20616/20527/238988/20541/16952/12805/108030/13838/18213/211446/319504/14270/67979/230868/238276/74006/235086/108071/268566/14283/12293/12565/268882/22343/18186/16531/17967/14812/17957/12217/242443/232370/19277/100986/103967/64085/17118/94332/56543/102857/19281/14400/13642/12330/11735/14809/108073/77116/16728/19211/14811/232975/14405/58998/104015/23792/18190/56216/26422/81840/67300/245684/12725/105722/268345/14395/320127/16522/18191/243961/19259/383348/14402/54725/20355/109676/271457/70495/70178/241770/54525/76108/192167/16412/64009/229521/14799/71436/22333/72685/217124/330814/12801/16400/13385/74513/11838/210933/12558/268980/19262/14802/71770/18187/18196/20979/12387/207728/54393"
"GO:0098978","GO:0098978","glutamatergic synapse",468,0.478003961482272,1.90174940863436,1e-10,3e-09,2.17728531855956e-09,1660,"tags=36%, list=21%, signal=30%","327814/15561/111173/14807/20983/56077/320772/19088/20527/64176/238988/13838/17918/22631/18213/319504/77579/67979/18795/238276/20740/18481/108071/18479/12293/17756/68097/12565/268882/22343/18186/16531/12287/13629/17967/14812/110279/17957/12217/242443/13685/232370/236794/170758/19277/100986/103967/105853/64085/77531/16452/17118/229706/65114/53872/13004/333605/22084/102857/19281/16000/81489/229279/83493/73340/18472/243743/21960/13642/12330/17257/14809/108073/13446/16728/14811/19055/104015/23792/18190/26422/17096/17920/245684/12725/20965/320127/56013/18191/243961/54725/18183/20355/53379/20404/14360/243725/20848/71978/271457/18754/70178/72993/68942/56717/241770/15572/54525/22421/192167/16412/217692/21985/269523/18223/14799/71436/20661/232533/330814/12801/52398/16400/27062/19697/112405/13385/74513/11838/26414/210933/216238/22317/235604/12298/12558/20742/231760/14802/71770/20743/17999/319468/18187/18196/20979/12889/12387/11991/56637/16646/54393/18759/382056/226180/11519/18189/74117/15569/14403/19283/30945/20910/20907/56839/14000/13860"
"GO:0030424","GO:0030424","axon",459,0.47095080260766,1.87089847269693,1.49824556698992e-10,4.26999986592127e-09,3.09900267277389e-09,1492,"tags=33%, list=19%, signal=28%","22240/15561/20269/215690/14807/20983/16574/20257/17755/20616/238988/20541/13424/14432/12805/16568/13838/17918/18213/11789/17470/101490/171580/319504/77579/12933/105689/15519/18040/19142/20740/13175/16589/17754/94185/12308/18751/18479/17756/13839/269774/20745/12565/18186/16531/12287/13518/17967/14812/12217/14489/353172/52822/22152/236794/170758/18028/103967/17118/16561/17762/83431/26398/22084/20317/73420/20181/21937/18472/12168/213582/12330/11735/20970/50876/72832/14809/99512/15516/108073/77116/20964/16728/14811/232975/18039/22687/58998/56216/27373/17920/12725/268345/14395/320127/16522/56013/19259/22253/14402/54725/19272/243725/271457/67703/269116/26413/67166/12934/15572/54525/100503659/16971/16560/15185/56526/11465/14365/22241/54160/229521/14799/19699/18216/71436/100310872/21808/217124/330814/12801/16400/13385/20617/216238/19387/18810/20742/70827/16439/72333/231760/72119/14802/18187/16572/20979/12889/56637/207728/54393"
"GO:0005759","GO:0005759","mitochondrial matrix",228,-0.487949970738803,-2.01110669710316,1.23351399731295e-09,3.19592262940173e-08,2.31947847341621e-08,1803,"tags=41%, list=23%, signal=32%","67851/320204/329910/66407/57320/56282/11740/15929/66399/14979/102060/66128/11655/27398/66587/94066/78038/66163/14194/53895/231086/68836/11370/66077/94063/52856/27393/66841/18242/76263/79044/67681/11409/94062/11363/68611/15108/100039707/27397/56248/24030/66258/11669/68499/107734/23897/21915/67840/11364/68346/68572/94064/17713/52443/14651/216767/15528/15473/68463/12039/68735/64660/66449/12261/12040/68565/17850/121022/94065/68738/66845/68537/66230/110826/66292/66121/64659/66383/27050/67713/67270/78653/107733/14533/75530/66834/18477/67267/66416/66148/104444/14548/66448"
"GO:0097447","GO:0097447","dendritic tree",476,0.450682119437587,1.79209568075141,3.78801557442178e-09,9.38769077139311e-08,6.81322709724375e-08,1593,"tags=33%, list=21%, signal=28%","327814/20620/14807/20983/16574/17755/12661/19088/320840/20541/13838/17918/11789/12450/101490/72289/14270/77579/56710/12933/238276/15519/19142/235086/16589/17754/12308/108071/268566/18479/17756/13839/12565/60365/16531/12287/217166/14812/12217/18458/52822/22152/236794/19277/100986/103967/22041/54138/227325/56403/17118/16561/65254/17762/56543/26398/333605/11784/22084/14102/14400/81489/18578/57436/12168/13642/12330/11735/14809/99512/15516/108073/77116/20964/16728/54003/19211/14811/19055/232975/14405/58998/13840/80913/268345/14395/11911/210044/320127/16522/56013/243961/19259/22253/54725/19272/20404/14360/239528/243725/271457/67703/269116/18197/26413/232944/12934/56717/15572/54525/16971/16560/15185/192167/14365/16412/217692/22608/229521/14799/19699/237868/18216/20661/217124/12176/18195/13385/11838/19387/55963/18810/70827/268980/56715/14802/17999/16572/18196/12889/12387/56637/207728/16646/234678/12166/54393/74370/382056/68801/217125/240843/16195/14403/233908/98741/19283"
"GO:0070069","GO:0070069","cytochrome complex",31,-0.767507368384182,-2.31334774463538,1.57933864182733e-07,3.60089210336631e-06,2.61338983679217e-06,505,"tags=71%, list=7%, signal=67%","12862/66445/67892/107197/20463/17711/17709/67530/66576/12859/66142/66152/110323/17992/12861/12864/12868/22272/12857/12867/17710/66594"
"GO:0043025","GO:0043025","neuronal cell body",451,0.426846836543274,1.69692428561093,5.74998466553208e-07,1.17053259262617e-05,8.49527809606807e-06,1648,"tags=33%, list=21%, signal=27%","15561/20269/14807/20983/240058/16574/20257/17755/20616/19088/20845/238988/320840/20541/13424/16568/13838/17918/11789/17470/12450/101490/77579/56710/12933/238276/15519/18040/235086/17754/268566/17756/13839/60365/18186/18573/16531/13483/12287/217166/17967/14812/12217/71991/242443/52822/22152/170758/100986/54138/227325/56403/65114/65254/17762/83431/56543/233878/26398/22084/14102/20317/50493/16000/81489/56527/15463/18472/12168/12330/14809/99512/15516/108073/16728/54003/232975/22687/320360/27373/80913/17920/245684/268345/74011/14395/320127/16522/56013/19259/22253/19272/53379/20404/243725/271457/26413/12934/56717/15572/54525/16971/16560/15185/14365/217692/22608/22241/14799/19699/18216/50790/100310872/21808/20661/217124/13803/20617/26414/55963/70827/72333/268980/72119/53328/14802/20743/16572/12889/56637/12166/54393/74370/382056/68801/240843/18189/26420/16195/14403/233908/98741/19283/13712/107448/98660/20265/70357"
