threshold_um,region,xmin_um,xmax_um,actin_total,arc_total,observed_pairs,actin_match_fraction,arc_match_fraction,dice_fraction,null_pairs_mean,null_pairs_ci_low,null_pairs_ci_high,null_actin_match_fraction_mean,null_arc_match_fraction_mean,null_dice_fraction_mean,enrichment_vs_null,empirical_p_enrichment
0.25,whole_image,-inf,inf,1605,559,348,0.21682242990654205,0.6225402504472272,0.32162661737523107,61.7635,49.0,75.0,0.03848193146417445,0.11048926654740608,0.05708271719038817,5.634395719154517,0.0004997501249375312
0.5,whole_image,-inf,inf,1605,559,383,0.23862928348909657,0.6851520572450805,0.3539741219963031,182.727,165.0,201.0,0.11384859813084112,0.3268819320214669,0.16887892791127543,2.0960230288900927,0.0004997501249375312
1.0,whole_image,-inf,inf,1605,559,424,0.2641744548286604,0.7584973166368515,0.39186691312384475,349.4025,334.0,364.0,0.217696261682243,0.6250491949910554,0.3229228280961183,1.2135001896094046,0.0004997501249375312
0.25,x_ge_50,50.0,inf,248,66,30,0.12096774193548387,0.45454545454545453,0.1910828025477707,3.7135,1.0,7.0,0.014973790322580645,0.05626515151515151,0.023652866242038214,8.078632018311566,0.0004997501249375312
0.5,x_ge_50,50.0,inf,248,66,36,0.14516129032258066,0.5454545454545454,0.22929936305732485,13.136,8.0,19.0,0.05296774193548387,0.19903030303030303,0.08366878980891719,2.7405602923264314,0.0004997501249375312
1.0,x_ge_50,50.0,inf,248,66,37,0.14919354838709678,0.5606060606060606,0.2356687898089172,25.2945,20.0,31.0,0.10199395161290323,0.38325,0.16111146496815287,1.4627685860562574,0.0004997501249375312
0.25,0_30,0.0,30.0,1062,408,272,0.256120527306968,0.6666666666666666,0.37006802721088433,50.223,39.0,62.0,0.0472909604519774,0.12309558823529411,0.06833061224489796,5.415845329828963,0.0004997501249375312
0.5,0_30,0.0,30.0,1062,408,295,0.2777777777777778,0.7230392156862745,0.4013605442176871,146.793,132.0,162.0,0.1382231638418079,0.3597867647058824,0.1997183673469388,2.009632611909287,0.0004997501249375312
1.0,0_30,0.0,30.0,1062,408,329,0.3097928436911488,0.8063725490196079,0.44761904761904764,278.39,265.975,291.0,0.26213747645951035,0.682328431372549,0.37876190476190474,1.1817953231078704,0.0004997501249375312
0.25,30_60,30.0,60.0,388,116,58,0.14948453608247422,0.5,0.23015873015873015,9.5025,4.0,15.0,0.024490979381443297,0.08191810344827585,0.03770833333333333,6.103656932386214,0.0004997501249375312
0.5,30_60,30.0,60.0,388,116,67,0.17268041237113402,0.5775862068965517,0.26587301587301587,28.7865,21.0,36.0,0.07419201030927836,0.24815948275862068,0.11423214285714285,2.327479895089712,0.0004997501249375312
1.0,30_60,30.0,60.0,388,116,74,0.19072164948453607,0.6379310344827587,0.29365079365079366,57.4095,50.0,64.0,0.14796262886597938,0.4949094827586207,0.2278154761904762,1.288985272472326,0.0004997501249375312
0.25,60_90,60.0,90.0,134,28,16,0.11940298507462686,0.5714285714285714,0.19753086419753085,1.887,0.0,5.0,0.014082089552238806,0.06739285714285714,0.023296296296296298,8.479067302596714,0.0004997501249375312
0.5,60_90,60.0,90.0,134,28,18,0.13432835820895522,0.6428571428571429,0.2222222222222222,6.463,3.0,10.0,0.04823134328358209,0.23082142857142857,0.07979012345679012,2.78508432616432,0.0004997501249375312
1.0,60_90,60.0,90.0,134,28,18,0.13432835820895522,0.6428571428571429,0.2222222222222222,11.762,8.0,15.0,0.08777611940298508,0.4200714285714286,0.14520987654320988,1.5303519809556196,0.0004997501249375312
0.25,90_120,90.0,120.0,20,6,2,0.1,0.3333333333333333,0.15384615384615385,0.151,0.0,1.0,0.007549999999999999,0.025166666666666667,0.011615384615384614,13.245033112582782,0.0029985007496251873
0.5,90_120,90.0,120.0,20,6,3,0.15,0.5,0.23076923076923078,0.6845,0.0,2.0,0.034225,0.11408333333333333,0.052653846153846155,4.382761139517896,0.01249375312343828
1.0,90_120,90.0,120.0,20,6,3,0.15,0.5,0.23076923076923078,1.6395,0.0,3.0,0.08197499999999999,0.27325,0.1261153846153846,1.8298261665141813,0.1519240379810095
