Gene Symbol,Entrez ID
Ccnd1,58919
Ccnd2,64033
Ccne1,25729
Ccng1,25405
Ccng2,29157
Ccni,289500
Ccnt2,304758
Ccrl1,685243
Cct2,299809
Cct3,295230
Cct5,294864
Cct6a,288620
Cct8,288305
Cd180,294706
Cd24,25145
Cd302,295629
Cd34,305081
Cd3e,315609
Cd48,245962
Cd68,287435
Cd7,303747
Cd84,501872
Cdadc1,361052
Cdc123,116656
Cdc16,290875
Cdc27,360643
Cdc37,114562
Cdc42bpa,114116
Cdh18,310174
Cdh6,25409
Cdh7,29162
Cdh8,84408
Cdipt,192260
Cdk105,171456
Cdk14,362316
Cdk16,81741
Cdk17,314743
Cdk5r1,116671
Cdk5rap1,252827
Cdkl1,314198
Cdkl2,305242
Cdkl3,60396
Cdkn2aip,306455
Celf1,362160
Celf3,499669
Celf4,307540
Celf5,314647
Celsr2,83465
Cenpj,305909
Cep290,314787
Cep57,315423
Cep57l1,294519
Cep70,367153
Cers1,290658
Cetn2,84593
Cetn3,170895
Cfb,294257
Cfdp1,292027
Cfp,299314
Cgref1,245918
Chac1,362196
Chac2,360994
Chchd6,297436
Chd2,308738
Cherp,290614
Chgb,24259
Chit1,289032
Chka,29194
Chl1,89828
Chm,24942
Chmp4b,312254
Chmp5,297995
Chmp7,364419
Chn1,84030
Chordc1,315447
Chp,64152
Chpf,316533
Chpf2,296733
Chrm1,25229
Chrm3,24260
Chrm4,25111
Chrm5,53949
Chrna5,25102
Chrnb2,54239
Chst1,295934
Chst12,304322
Chst15,286974
Chst9,291770
Ciao1,29231
Cinp,299334
Cirbp,81825
Cirh1a,291987
Cisd2,295457
Ciz1,296639
Clasp1,304740
Clcf1,365395
Clcn2,29232
Clcn3,84360
Clcn4-2,60586
Clcn6,295586
Clcn7,29233
Cldn1,65129
Cldn19,298487
Clec11a,29313
Clec16a,287044
Clec2l,296985
Clk2,365842
Clk3,171305
Clptm1,292696
Clptm1l,316916
Clstn2,171394
Cluap1,363544
Clvs1,366311
Clvs2,361459
Cmas,312826
Cmklr1,60669
Cmpk1,298410
Cmtm4,498902
Cnih2,361705
Cnih3,690252
Cnksr2,59322
Cnnm1,309387
Cnot1,291841
Cnot2,299805
Cnot4,312227
Cnot8,363603
Cnpy3,685174
Cntnap1,84008
Cntnap4,307865
Coch,362735
Cog1,303652
Cog3,361073
Cog6,310411
Cog7,293456
Colec12,361289
Copb1,114023
Copb2,60384
Copg,297428
Cops3,287367
Cops5,312916
Cops6,304343
Cops7b,363273
Cops8,363283
Coq10a,362810
Coro2b,300768
Cotl1,361422
Cpd,25306
Cpe,25669
Cpeb1,293056
Cpeb4,303010
Cplx2,116657
Cpne4,367160
Cpne6,691478
Cpne7,361433
Cpne9,297516
Cpped1,302890
Cpsf1,366952
Cpsf2,299256
Cpsf3,298916
Cpsf4,304277
Cpsf7,365407
Crbn,297498
Creld1,312638
Crh,81648
Crhr1,58959
Crim1,298744
Crip2,338401
Crk,54245
Crkl,287942
Crlf1,290655
Crmp1,25415
Cryga,684028
Cryzl1,288256
Cse1l,362273
Csnk1e,58822
Csnk1g2,65278
Csnk2a1,116549
Csnk2a2,307641
Cst6,171096
Cstf1,311670
Ctdspl2,311368
Ctnna2,297357
Ctnnb1,84353
Ctnnbl1,296320
Cttnbp2,282587
Ctxn1,29145
Ctxn2,100302373
Ctxn3,100188934
Cuedc2,294009
Cul1,362356
Cul2,361258
Cul5,64624
Cwc27,361887
Cxadr,89843
Cxcr4,60628
Cyb561d1,362017
Cyb5r4,171015
Cyfip1,308666
Cyfip2,303073
Cyp46a1,362782
Cyp4x1,246767
Cyp7b1,25429
Cysltr1,114099
Dab1,266729
Dbc1,140610
Dbn1,81653
Dbr1,681234
Dcaf13,362902
Dclk1,83825
Dcn,29139
Dcp2,291604
Dctn1,29167
Dctn2,299850
Dctn3,362504
Dctn5,308961
Dcun1d2,688913
Dcun1d4,360928
Dcx,84394
Ddb1,64470
Ddn,25113
Ddx17,315133
Ddx19b,690693
Ddx23,300208
Ddx24,373065
Ddx25,58856
Ddx3x,317335
Ddx42,303607
Ddx46,245957
Ddx47,297685
Ddx49,290660
Ddx56,289780
Dennd4b,361987
Derl3,690315
Dgcr8,287954
Dgkd,368088
Dgkg,25666
Dgki,688705
Dgkz,81821
Dhdds,298541
Dhps,288923
Dhx15,289693
Dhx36,310461
Dhx40,287595
Dhx57,366532
Dhx9,304859
Diexf,305076
Dimt1,294718
Dip2c,307067
Diras2,291006
Dis3,306103
Dis3l2,367307
Disp2,311324
Dlg1,25252
Dlg2,64053
Dlg3,58948
Dlg4,29495
Dlgap3,286923
Dlgap4,286930
Dnajb13,308857
Dnajb14,499716
Dnajc13,363127
Dnajc14,114481
Dnajc25,362526
Dnajc28,360699
Dnajc5,79130
Dnajc6,313409
Dnajc7,303536
Dnal4,300078
Dnm1,140694
