"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009145","BP","GO:0009145","purine nucleoside triphosphate biosynthetic process","40/709","102/10713",1.76095606961011e-21,5.91916033531612e-19,5.87850387588442e-19,"Ndufa3/ND3/Ndufa11/Nme5/Ndufb2/Ndufb4/Ndufa7/Ndufa6/Atp5mf/Nme3/Atp5pd/Ndufa1/Ndufc2/Atp5mg/Atp5mc2/Ndufb10/Ndufc1/Ndufa13/Ndufa12/Ndufb9/Ndufs8/Ndufb1/Ndufa2/Ndufb5/Atp5pf/ATP6/Atp5me/ND1/Ndufab1/Ndufb6/Nme2/Adk/Ndufa8/Ndufb11/ND2/Atp5mc1/Sdhc/Ndufb7/Ndufv2/Atp5mc3",40
"GO:0033108","BP","GO:0033108","mitochondrial respiratory chain complex assembly","37/709","94/10713",5.02777404547901e-20,1.26750183686526e-17,1.25879584917598e-17,"Ndufa3/Ndufa11/Ndufb2/Ndufb4c/Ndufb4/Cox20/Uqcc2/Ndufa6/Cox17/Cox14/Ndufa1/Ndufc2/Uqcc6/Lyrm7/Tmem223/Uqcc5/Ndufb10/Ndufc1/Ndufa13/Ndufa12/Ndufb9/Ndufs8/Ndufb1/Ndufa2/Ndufb5/Smim20/ND1/Sdhaf4/Dmac1/Ndufab1/Tmem126a/Ndufb6/Slc25a33/Ndufa8/Ndufb11/ND2/Ndufb7",37
"GO:0046034","BP","GO:0046034","ATP metabolic process","39/709","116/10713",3.30930062434727e-18,6.17981249924404e-16,6.13736571930602e-16,"Bend3/Ndufa3/ND3/Ndufa11/Ndufb2/Ndufb4/Fis1/Ndufa7/Ndufa6/Atp5mf/Atp5pd/Ndufa1/Ndufc2/Atp5mg/Atp5mc2/Ndufb10/Ndufc1/Ndufa13/Ndufa12/Ndufb9/Ndufs8/Ndufb1/Ndufa2/Ndufb5/Atp5pf/Ampd3/ATP6/Atp5me/ND1/Ndufab1/Ndufb6/Ndufa8/Ndufb11/ND2/Atp5mc1/Sdhc/Ndufb7/Ndufv2/Atp5mc3",39
"GO:0046390","BP","GO:0046390","ribose phosphate biosynthetic process","46/709","177/10713",2.74844899195725e-16,3.37992190669475e-14,3.35670650956114e-14,"Ndufa3/Mpc1/ND3/Ndufa11/Nme5/Ndufb2/Gmpr/Ndufb4/Ndufa7/Ndufa6/Atp5mf/Nme3/Atp5pd/Ndufa1/Mpc2/Ndufc2/Atp5mg/Atp5mc2/Ndufb10/Ndufc1/Ndufa13/Acss1/Ndufa12/Ndufb9/Ndufs8/Ndufb1/Ndufa2/Ndufb5/Atp5pf/Ampd3/ATP6/Atp5me/ND1/Ndufab1/Ndufb6/Nme2/Adk/Ndufa8/Mmut/Ndufb11/ND2/Atp5mc1/Sdhc/Ndufb7/Ndufv2/Atp5mc3",46
"GO:0002181","BP","GO:0002181","cytoplasmic translation","33/709","132/10713",1.53977853317135e-11,1.38635060075892e-09,1.37682828614588e-09,"Rps27a/Rpl34/Rpl18a/Rplp1/Uba52/Rpl39/Rps14/Rps17/Rpl41/Rps3/Rpl13/Rpl18/Rpl38/Rps29/Rps19/Rps15/Rpl26/Rpl37a/Rbm4/Rpl22l1/Rpl24/Rps26/Rpl14/Rpl32/Rps21/Rps23/Rpl27/Rpl7a/Rps13/Rpl13a/Rps16/Rpl19/Rps9",33
"GO:0007005","BP","GO:0007005","mitochondrion organization","64/709","461/10713",9.0467017880669e-09,6.61064788629468e-07,6.56524186206472e-07,"Ndufa3/Ndufa11/Chchd2/Gpx1/Rab32/Ndufb2/Dnajc15/Ndufb4c/Ndufb4/Cox20/Fis1/Rnf7/Uqcc2/Gabarap/Mpv17/Dcn/Ndufa6/Mtfr1/Cox17/Noa1/Cox14/Ndufa1/Ndufc2/Uqcc6/Lyrm7/Tmem223/Uqcc5/Ndufb10/Atg5/Ndufc1/Ndufa13/Dnajc19/Mtx1/Tomm22/Romo1/Ndufa12/Ndufb9/Ndufs8/Ndufb1/Ndufa2/Ndufb5/Smim20/ND1/Tomm5/Sdhaf4/Srebf1/Dmac1/Ndufab1/Tomm7/Timm13/Tmem126a/Chchd10/Ndufb6/Micos13/Slirp/Slc25a33/Rab5if/Ndufa8/Ndufb11/ND2/Sh3glb1/Ndufb7/Pink1/Dynll1",64
"GO:1901137","BP","GO:1901137","carbohydrate derivative biosynthetic process","61/709","465/10713",1.65744262058604e-07,1.08530203805128e-05,1.07784751143237e-05,"Eogt/St8sia2/Ndufa3/Mpc1/ND3/Ndufa11/Nme5/Pigp/Ndufb2/Gmpr/Ndufb4/Tmem165/Qng1/Ost4/Ndufa7/Ndufa6/Atp5mf/Nme3/Atp5pd/Dguok/Ndufa1/Mpc2/Ndufc2/Atp5mg/Slc35b2/Pawr/Atp5mc2/Ndufb10/Ndufc1/Ndufa13/Dad1/Acss1/Tmem258/Ramp1/Ndufa12/Ndufb9/Ndufs8/Ndufb1/Ndufa2/Ndufb5/Atp5pf/Ampd3/ATP6/Atp5me/ND1/Ndufab1/Pyurf/Ndufb6/Nme2/Adk/Ndufa8/Mmut/Ndufb11/ND2/Atp5mc1/Sdhc/Ndufb7/Tmem59/Ndufv2/Atp5mc3/Itm2b",61
"GO:0006979","BP","GO:0006979","response to oxidative stress","39/709","284/10713",1.01972858069141e-05,0.000577693427398439,0.000573725471123484,"Ppargc1b/Msrb3/Cst3/Bmal1/Prkaa2/Mb/Apod/Mt3/ND3/Cryab/Nme5/Chchd2/Gpx1/Ndufb4c/Gpr37l1/Ndufb4/Mpv17/Ndufa6/Gpx4/Rps3/Pawr/Mgst1/Gstp1/Prdx1/Apoe/Romo1/Ndufa12/Etv5/Ndufs8/Aldh1a1/Rhob/Gpx8/ND1/Atox1/Prdx6/Prdx5/Prnp/Pink1/Psap",39
"GO:1902600","BP","GO:1902600","proton transmembrane transport","15/709","76/10713",0.000112813659559753,0.00541720449047881,0.00537999577469419,"Atp6v0e/Atp5mf/Cox17/Atp5pd/Atp5mg/Atp5mc2/Ndufa4/Nherf1/Atp6v1f/Atp5pf/Atp5me/CYTB/Tmem175/Atp5mc1/Atp5mc3",15
"GO:0006749","BP","GO:0006749","glutathione metabolic process","10/709","43/10713",0.000392772023461956,0.0163665829941751,0.0162541671649285,"Gpx1/Gstm5/Chac2/Gpx4/Mgst1/Gstp1/Ndp/Gstz1/Gstm1/Gsta4",10
