"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048284","BP","GO:0048284","organelle fusion","21/801","134/10713",0.000923544226648841,0.0454303451317608,0.042149121410262,"Stxbp6/Chmp1b2/Anxa1/Huwe1/AU040320/Erc1/Eea1/Arl8b/Miga1/Gdap1/Afg3l2/Snap29/Grik5/Vamp2/Opa1/Vps39/Snph/Chmp2b/Dnm1l/Syt1/Syt11",21
"GO:0007420","BP","GO:0007420","brain development","53/801","459/10713",0.000938253145521842,0.0457560176225608,0.0424512720832296,"Herc1/Nhlh2/Fgf2/Lamb1/Pgap1/Ncor1/Nfib/Gpr158/Btg2/Bcr/Dclk1/Pbx1/Plcb1/Celsr2/Dmxl2/Bcl11b/Pak1/Tbr1/Tnr/Kras/Col4a1/Slc1a2/Neurod1/Plxna4/Rbfox2/Epha7/Chd8/Arid1a/Wdr37/Nfasc/Pcm1/Epha5/Slc6a17/Srgap2/Nr2c2/Mecp2/Anapc7/Crk/Zbtb18/Cntn1/Fxr1/Reln/Atp1a2/Map2k1/Maco1/Slc4a10/Ncam1/Pafah1b1/Nrxn1/Celf1/Serpine2/Atp1b2/Aplp2",53
"GO:0086009","BP","GO:0086009","membrane repolarization","8/801","29/10713",0.000983327191314053,0.0471413722140983,0.043736568919642,"Akap9/Cacna2d1/Akap7/Akap6/Cacnb3/Scn1b/Atp1b1/Atp1b2",8
"GO:0000245","BP","GO:0000245","spliceosomal complex assembly","10/801","43/10713",0.00102363903028921,0.0484483032601424,0.0449491063805569,"Celf4/Srpk2/Gemin2/Slu7/Celf2/Ptbp2/Rbm5/Sf3a3/Celf1/Psip1",10
"GO:0055075","BP","GO:0055075","potassium ion homeostasis","6/801","17/10713",0.00103628154401224,0.0484483032601424,0.0449491063805569,"Slc12a6/Atp1a3/Kcnma1/Atp1a2/Atp1b1/Atp1b2",6
"GO:0099519","BP","GO:0099519","dense core granule cytoskeletal transport","5/801","12/10713",0.001172222106014,0.0530500836297695,0.049218521436512,"Map2/Ppfia2/Kif1b/Mecp2/Kif5a",5
"GO:0002090","BP","GO:0002090","regulation of receptor internalization","12/801","59/10713",0.00119110473099592,0.0533597988599109,0.0495058673679588,"Atad1/Napb/Ahi1/Rala/Plk2/Insr/Sh3gl2/Synj1/Lrrtm1/Mtmr2/Nedd4/Nsf",12
"GO:0008088","BP","GO:0008088","axo-dendritic transport","15/801","85/10713",0.0014413607893816,0.061055761631881,0.0566459863413858,"Kif5c/Armcx3/Map2/Arl8b/Nefm/Dst/Myo5a/Dync1h1/Kif1b/Mecp2/Ank3/Trak2/Mapt/Kif5a/Pafah1b1",15
"GO:0106027","BP","GO:0106027","neuron projection organization","17/801","103/10713",0.00154628861257288,0.0638493042432465,0.0592377642895764,"Epha4/Pak3/Insr/Ppfia2/Dnm3/Epha5/Ube3a/Opa1/Grin2b/Grin2a/Atp1a3/Reln/Mtmr2/Dnm1l/Nlgn1/Abi2/Pafah1b1",17
"GO:0031112","BP","GO:0031112","positive regulation of microtubule polymerization or depolymerization","8/801","31/10713",0.00158148544520595,0.0646162530940421,0.0599493199718828,"Pak1/Apc/Gda/Akap9/Mecp2/Stmn2/Map1b/Mapt",8
