"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006959","BP","GO:0006959","humoral immune response","23/1394","74/10713",3.87985109826984e-05,0.0027251545043643,0.00259987151345785,"H2-T22/C1s1/H2-T23/Adm/Cxcl1/Rgcc/Vip/A2m/Rps19/Rpl39/Foxj1/Rarres2/Romo1/Fau/Serping1/C3/Rpl30/Cxcl14/Trf/B2m/Cxcl10/Gapdh/Hmgn2",23
"GO:0141060","BP","GO:0141060","disruption of anatomical structure in another organism","13/1394","30/10713",4.04173757276052e-05,0.00279966799633483,0.00267095941134848,"Irgm2/Cxcl1/Gbp5/Bcl2l11/Lyz2/Rps19/Romo1/Rpl30/Cxcl14/Csnk2b/Cxcl10/Gapdh/Hmgn2",13
"GO:1901137","BP","GO:1901137","carbohydrate derivative biosynthetic process","90/1394","465/10713",5.21073909266259e-05,0.0034631804657793,0.0033039683528122,"Qng1/Gcnt2/Cryl1/Crppa/Ppcdc/B3gnt5/Nme2/Abca7/Acsl5/Ndufa11/Ndufb1/Eogt/B4galt1/St8sia2/Gal3st1/Tmem165/Mpc1/Atp5mf/Ndufa2/Tk1/Alg5/Chsy1/Atp5mg/St3gal1/Ndufa3/Ndufb4/Dpm3/Atp5pd/Ndufb9/Ndufc1/Ndufc2/Nppc/Ndufb6/Ndufb2/ND3/Ndufb11/Ost4/Pigp/Dad1/Tyms/Ramp1/Ndufa6/Poglut3/Ndufb5/Ndufs6/Ndufa12/Cant1/Ndufv3/Ndufa8/Bace2/Gmpr/Pyurf/Gk/Dpm2/Krtcap2/Atp5mc1/Gart/Fut10/Pank2/Sdhb/Atp5me/Ndufa7/Itm2b/Ndufa1/Atp5pb/Atp5pf/Papss2/Mpc2/Eno1/Slc35b2/Ndufb7/Ak3/Ndufb8/Nme5/Ndufa13/Gpaa1/Ndufb10/Nme1/Adk/Tmem258/Ndufs4/Ndufs7/Ostc/Adsl/Ndufab1/G6pdx/Atp5po/Guk1/Ndufa10/Gapdh",90
"GO:0031640","BP","GO:0031640","killing of cells of another organism","12/1394","28/10713",9.14013614573541e-05,0.00576481444048883,0.00549978976245003,"Irgm2/Cxcl1/Gbp5/Bcl2l11/Lyz2/Rps19/Romo1/Rpl30/Cxcl14/Cxcl10/Gapdh/Hmgn2",12
"GO:0141061","BP","GO:0141061","disruption of cell in another organism","12/1394","28/10713",9.14013614573541e-05,0.00576481444048883,0.00549978976245003,"Irgm2/Cxcl1/Gbp5/Bcl2l11/Lyz2/Rps19/Romo1/Rpl30/Cxcl14/Cxcl10/Gapdh/Hmgn2",12
"GO:0035082","BP","GO:0035082","axoneme assembly","18/1394","55/10713",0.000126263530529079,0.00772707804158652,0.00737184260577281,"Dnai4/Cfap69/Dnai2/Stk36/Ulk4/Ccdc65/Ak7/Zmynd10/Daw1/Cfap43/Dnai3/Meig1/Dnai1/Ccdc40/Dnajb13/Dnaaf5/Foxj1/Pierce1",18
"GO:0042255","BP","GO:0042255","ribosome assembly","18/1394","57/10713",0.000210592605133956,0.0125160855032018,0.0119406859712593,"Nsun4/Mrm2/Rps27/Rps14/Mrpl20/Rpl38/Rps15/Rpsa/Rps19/Fau/Rpl11/Rps25/Rps27l/Rplp0/Rps28/Rpl24/Rpl23a/Rpl6",18
"GO:0051341","BP","GO:0051341","regulation of oxidoreductase activity","17/1394","53/10713",0.000254204560647261,0.0144150310950525,0.0137523317116944,"Pik3cb/Abl1/Etfbkmt/Mt3/Sirt4/Egfr/S100a1/Oxa1l/Apoe/Ndufa4/Cyba/Fxn/Park7/Cox17/Gstp1/Prdx5/Gnai2",17
"GO:0009617","BP","GO:0009617","response to bacterium","60/1394","297/10713",0.000285177808217389,0.0154621406367691,0.014751302692833,"Cd14/H2-T22/Tmem255a/Plscr2/Abl1/Glycam1/Nfkbil1/H2-T23/Fcer1g/Irgm2/Adm/Mt2/Tlr2/Zfp983/Smad6/Cxcl1/Cxcl16/Cd24a/Gbp5/Rnase1/Lyz2/Shc1/Vip/Tent5a/Mgst1/Gpx1/P2rx7/Ccl2/Inava/Gbp10/Thrsp/Vim/Bmp6/Rps19/Anxa3/Rpl39/Rarres2/Rab29/Romo1/Cyba/Rpl13a/Fau/Lsm5/C3/Mif/Rpl30/Plaat3/Il18/Pmp22/Serpina3n/Trf/Cebpb/B2m/Ifit1/Nfkbia/Gstp1/Cxcl10/Rnf5/Hmgb1/Hadhb",60
"GO:0072593","BP","GO:0072593","reactive oxygen species metabolic process","35/1394","149/10713",0.000305898572595257,0.0164123262637224,0.0156578056232381,"Gpx3/Ucp2/Gadd45a/Mt3/Pon3/Egfr/Cxcl1/Ccn2/Shc1/Cryab/Gpx1/P2rx7/Inava/Slc25a33/Pxdn/Ndufc2/Prdx1/Romo1/Cyba/Park7/Slc1a1/Ripk1/Atp5if1/Il18/Eif5a/Prdx6/Atg5/Ndufa13/Txn1/Ndufs4/Gstp1/Prdx5/G6pdx/Gnai2/Cycs",35
