"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140657","MF","GO:0140657","ATP-dependent activity","52/927","362/10713",0.00017588643239788,0.0100113836735054,0.00861451439061088,"Kif20a/Hells/Mcm8/Atp11c/Abcc8/Acsl1/Pms2/Kif5c/Abcb1b/Atad5/Anxa1/Myh8/Atp2b4/Macf1/Dync1h1/Atad1/Hsp90aa1/Atp1a3/Cct8/Slc27a3/Ddx46/Hsp90b1/Katnal1/Chd3/Myh10/Kif3a/Ddx19b/Myo1c/Tap1/Myo5a/Atp9a/Arid1a/Abca3/Ddx6/Hsp90ab1/Rsf1/Dhx40/Bcs1l/Afg3l2/Vcp/Chtf8/Abce1/Kif1b/Kif1a/Nsf/Myo6/Hspa5/Atp8a1/Tcp1/Hspa9/Atp6v0e2/Atp1b1",52
"GO:0016887","MF","GO:0016887","ATP hydrolysis activity","32/927","193/10713",0.00024849009357037,0.0125276912427977,0.0107797263606843,"Kif20a/Atp11c/Pms2/Kif5c/Abcb1b/Atad5/Myh8/Atp2b4/Macf1/Atad1/Hsp90aa1/Atp1a3/Cct8/Hsp90b1/Katnal1/Chd3/Kif3a/Tap1/Atp9a/Abca3/Hsp90ab1/Bcs1l/Afg3l2/Vcp/Abce1/Kif1b/Kif1a/Nsf/Hspa5/Atp8a1/Tcp1/Hspa9",32
"GO:0052744","MF","GO:0052744","phosphatidylinositol monophosphate phosphatase activity","6/927","13/10713",0.000416326425890586,0.0179472891856746,0.0154431381320055,"Inpp5f/Mtmr4/Mtmr2/Mtmr6/Pten/Sacm1l",6
"GO:0098918","MF","GO:0098918","structural constituent of synapse","10/927","34/10713",0.000428353060061357,0.0180728535766313,0.0155511827628098,"Ppfia2/Erc1/Pclo/Erc2/Nefl/Dnm3/Sptbn2/Ina/Pls3/Actg1",10
"GO:0015631","MF","GO:0015631","tubulin binding","42/927","286/10713",0.000453855247722133,0.018355869644501,0.0157947101381405,"Kif20a/Jmy/Ska1/Kif5c/Haus6/Stmn2/Taok1/Gtse1/Terf1/Apc/Cep70/Macf1/Map1b/Setd2/Katnal1/Mast1/Kif3a/Stmn4/Map2/Pak1/Psrc1/Map1a/Dst/Dnm3/Wipf3/Jakmip1/Akap1/Ttll7/Dnm1l/Camsap2/Clip1/Mapt/Kif1b/Map9/Ndel1/Pde4b/Fyn/Kif1a/Strbp/Pafah1b1/Klc1/Syt11",42
"GO:0097718","MF","GO:0097718","disordered domain specific binding","9/927","29/10713",0.000534213375888433,0.020503454020389,0.0176426461592221,"Mdm2/Dffb/Hsp90aa1/Myo5a/Ap2a2/Rrm1/Hsp90ab1/Fyn/Cltc",9
"GO:0051018","MF","GO:0051018","protein kinase A binding","11/927","42/10713",0.000670942614236964,0.0233628088192249,0.0201030406327274,"Prkar2b/Akap5/Pakap/Arfgef1/Akap11/Acbd3/Pkia/Pja2/Akap9/Akap1/Sox9",11
"GO:0120283","MF","GO:0120283","protein serine/threonine kinase binding","6/927","16/10713",0.00154894630115109,0.0385551529102419,0.0331756259083802,"Ap2a2/Dnm3/Dnm1l/Prkce/Nsf/Cltc",6
"GO:0034236","MF","GO:0034236","protein kinase A catalytic subunit binding","5/927","12/10713",0.00226708161038898,0.0494024487186961,0.0425094192069466,"Prkar2b/Akap11/Pkia/Pja2/Sox9",5
"GO:0044183","MF","GO:0044183","protein folding chaperone","11/927","50/10713",0.00309169098964581,0.0617196969711507,0.0531080652866392,"Aplf/Hsp90aa1/Cct8/Hsp90b1/Ccdc47/Hsp90ab1/Ric3/Dnajb1/Hspa5/Tcp1/Hspa9",11
"GO:0140662","MF","GO:0140662","ATP-dependent protein folding chaperone","7/927","24/10713",0.00330765345157472,0.0644922631995772,0.0554937806335507,"Hsp90aa1/Cct8/Hsp90b1/Hsp90ab1/Hspa5/Tcp1/Hspa9",7
"GO:0004672","MF","GO:0004672","protein kinase activity","46/927","355/10713",0.00352494662741818,0.0676609552578171,0.0582203511282329,"Kit/Cdkn1a/Stk32b/Scyl3/Plk2/Epha5/Kdr/Taok1/Ccl3/Cdk12/Rps6ka3/Trim24/Ttbk2/Stk4/Prkcb/Eif2ak2/Ripk2/Bcr/Uhmk1/Taf1/Ntrk3/Aak1/Dclk1/Epha4/Mast1/Nrp1/Prkacb/Stk39/Lmtk2/Jak2/Csnk1g1/Pak3/Pak1/Pik3ca/Cdk14/Rock1/Camk1d/Wnk1/Hk1/Prkce/Camkv/Fyn/Map2k4/Csnk1a1/Srpk2/Mapk1",46
"GO:0016773","MF","GO:0016773","phosphotransferase activity, alcohol group as acceptor","53/927","426/10713",0.00430344155927985,0.0759678748847354,0.0653682220920753,"Kit/Cdkn1a/Stk32b/Scyl3/Plk2/Epha5/Kdr/Taok1/Pip4k2b/Ccl3/Cdk12/Rps6ka3/Trim24/Ttbk2/Stk4/Prkcb/Eif2ak2/Pank3/Ripk2/Bcr/Adpgk/Uhmk1/Taf1/Ntrk3/Aak1/Pip5k1a/Dclk1/Epha4/Mast1/Nrp1/Prkacb/Stk39/Lmtk2/Jak2/Csnk1g1/Pak3/Pak1/Pik3ca/Uck2/Cdk14/Rock1/Camk1d/Wnk1/Pip5k1c/Hk1/Prkce/Camkv/Fyn/Map2k4/Pfkp/Csnk1a1/Srpk2/Mapk1",53
"GO:0019902","MF","GO:0019902","phosphatase binding","26/927","175/10713",0.00443903429397182,0.0778991593358064,0.0670300381045954,"Vcan/Sytl2/Sh3yl1/Eif4ebp1/Atp2b4/Cacna1b/Nptxr/Akap5/Hsp90aa1/Cry1/Akap11/Ncam1/Hsp90b1/Kif3a/Trpc4ap/Ppp1r9a/Tsc2/Mtmr4/Ppp6r2/Hmgcr/Akap1/Wnk1/Vcp/Mapt/Kifap3/Mapk1",26
"GO:0017124","MF","GO:0017124","SH3 domain binding","17/927","99/10713",0.00462522997734913,0.0804546582902046,0.0692289731605073,"Adam19/Dpysl3/Ncf1/Mical1/Akap5/Uvrag/Afap1/Sh3bp5/Hip1r/Enah/Pak3/Grik5/Rufy2/Wipf3/Dtx1/Mapt/Prkce",17
"GO:0000149","MF","GO:0000149","SNARE binding","16/927","91/10713",0.00466296618441981,0.0808745942598059,0.0695903162646418,"Syt6/Syt4/Snap91/Uvrag/Vamp2/Napb/Exoc3/Myo5a/Stx1b/Sptan1/Sec24c/Vamp1/Cav1/Stxbp1/Nsf/Syt11",16
"GO:0030276","MF","GO:0030276","clathrin binding","11/927","53/10713",0.00497118265837174,0.0812460594358612,0.0699099516126714,"Syt6/Syt4/Plk2/Snap91/Hip1r/Ap2a2/Ap1s2/Dnm1l/Nsg1/Cltc/Syt11",11
"GO:0051082","MF","GO:0051082","unfolded protein binding","14/927","77/10713",0.00580111515376386,0.0880378419636255,0.0757540896690484,"Uggt2/Ube4b/Hsp90aa1/Cct8/Hsp90b1/Nudcd3/Hsp90ab1/Dnaja1/Uggt1/Dnajb1/Canx/Hspa5/Tcp1/Hspa9",14
"GO:0042162","MF","GO:0042162","telomeric DNA binding","8/927","33/10713",0.00599058358968631,0.0901571236332422,0.0775776720065216,"Zbtb48/Terf1/Zbtb10/Hnrnpa1/Upf2/Pot1a/Hnrnpa2b1/Ncl",8
"GO:0005509","MF","GO:0005509","calcium ion binding","39/927","301/10713",0.00688562219102887,0.0980240693513677,0.0843469577825023,"Vcan/Acan/Cdh6/Trpm4/Adam8/Masp1/Syt6/Syt4/Cdhr3/Anxa1/Lpl/Macf1/Cacna1b/Calb2/Sulf2/Clstn3/Pclo/Efcab2/Gpd2/Ccdc47/Spock1/Cdh9/Slit1/Myo5a/Clstn2/Sptan1/Dst/Bmp1/Plcb1/Caln1/Nell2/Asph/Hpcal4/Dner/Ncl/Cadps/Canx/Pls3/Syt11",39
"GO:0140326","MF","GO:0140326","ATPase-coupled intramembrane lipid transporter activity","5/927","15/10713",0.00690403177983242,0.0980240693513677,0.0843469577825023,"Atp11c/Abcb1b/Atp9a/Abca3/Atp8a1",5
"GO:0016301","MF","GO:0016301","kinase activity","56/927","466/10713",0.0070079802811345,0.0992630349820694,0.0854130529001431,"Kit/Cdkn1a/Stk32b/Scyl3/Plk2/Epha5/Kdr/Taok1/Pip4k2b/Ccl3/Cdk12/Rps6ka3/Trim24/Ttbk2/Stk4/Prkcb/Eif2ak2/Pank3/Ripk2/Bcr/Adpgk/Uhmk1/Taf1/Ntrk3/Aak1/Pip5k1a/Dclk1/Epha4/Mast1/Nrp1/Prkacb/Stk39/Lmtk2/Jak2/Csnk1g1/Pak3/Pak1/Pik3ca/Uck2/Cdk14/Ip6k1/Pgk1/Coq8a/Rock1/Camk1d/Wnk1/Pip5k1c/Hk1/Prkce/Camkv/Fyn/Map2k4/Pfkp/Csnk1a1/Srpk2/Mapk1",56
