"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046456","BP","GO:0046456","icosanoid biosynthetic process","4/376","18/10715",0.222222222222222,6.33274231678487,4.31803669949769,0.00308861290223723,0.0664686553802044,0.0591643908868496,"Cthrc1/Il1b/Ptgds/Mif",4
"GO:0007286","BP","GO:0007286","spermatid development","10/376","103/10715",0.0970873786407767,2.76673208014873,3.43574689359902,0.00325345323766237,0.0686047810571911,0.0610657769433866,"Ttc21a/Drc7/Ccdc146/Ropn1l/Cfap69/Meig1/Kdm3a/Cfap52/Nme5/Rsph1",10
"GO:0015718","BP","GO:0015718","monocarboxylic acid transport","8/376","71/10715",0.112676056338028,3.2109679352712,3.56442648089119,0.0032936336869932,0.06913636530243,0.0615389452043466,"P2rx7/Slc16a3/Ceacam1/Slc5a8/Il1b/Ucp2/Mif/Apoe",8
"GO:0001906","BP","GO:0001906","cell killing","9/376","87/10715",0.103448275862069,2.94800073367571,3.47899212247514,0.00336182171714399,0.0702483832116332,0.0625287630647643,"Ctsh/P2rx7/Ceacam1/H2-Q10/Lgals3/Ap1g1/Emp2/Hmgn2/Gapdh",9
"GO:0051347","BP","GO:0051347","positive regulation of transferase activity","16/376","214/10715",0.0747663551401869,2.13064227480612,3.18601086851944,0.0035736167129234,0.0741105217721295,0.0659664898270306,"Stil/P2rx7/Trem2/Ceacam1/Il1b/Adrb2/Spdya/Ezh2/Pdgfc/Cimap3/Cd24a/Emp2/Angpt1/Mif/Apoe/Prnp",16
"GO:0007189","BP","GO:0007189","adenylate cyclase-activating G protein-coupled receptor signaling pathway","8/376","72/10715",0.111111111111111,3.16637115839243,3.51720399759665,0.00359488069684696,0.0741123172233896,0.0659680879755046,"Gipr/Adm/Gper1/Calcrl/Adrb2/Adgre5/S1pr3/Abca1",8
"GO:0010965","BP","GO:0010965","regulation of mitotic sister chromatid separation","6/376","43/10715",0.13953488372093,3.97637308263236,3.72931582087542,0.00364497232018946,0.0741519038530172,0.0660033244161365,"Spdl1/Fbxo5/Birc5/Spc24/Zw10/Cdc16",6
"GO:0002819","BP","GO:0002819","regulation of adaptive immune response","10/376","105/10715",0.0952380952380952,2.71403242147923,3.36578573839116,0.00374068358141803,0.0757037420404164,0.0673846305458791,"Tnfaip3/P2rx7/Trem2/Ceacam1/Il1b/H2-Q10/Cd24a/Lgals1/Mif/Hmgb1",10
"GO:0002460","BP","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","13/376","160/10715",0.08125,2.31540890957447,3.19684903055856,0.00413609634403574,0.0816260381057993,0.0726561233623912,"Ctsh/Tnfaip3/P2rx7/Trem2/Ceacam1/Il1b/H2-Q10/Serping1/Cd24a/Emp2/Lgals1/Tmem98/Hmgb1",13
"GO:1905907","BP","GO:1905907","negative regulation of amyloid fibril formation","3/376","10/10715",0.3,8.54920212765957,4.55447364831011,0.00427949585357697,0.0826891709281107,0.0736024281357325,"Trem2/Apoe/Clu",3
"GO:0051304","BP","GO:0051304","chromosome separation","7/376","59/10715",0.11864406779661,3.38104038946989,3.49724564560949,0.00439141628970875,0.0841475536343361,0.0749005486408065,"Ncapg2/Spdl1/Fbxo5/Birc5/Spc24/Zw10/Cdc16",7
"GO:0002053","BP","GO:0002053","positive regulation of mesenchymal cell proliferation","4/376","20/10715",0.2,5.69946808510638,4.0114721717555,0.00462679845687458,0.0854662210953872,0.0760743072593483,"Prrx1/Kdr/Lrp6/Hmgb1",4
"GO:0034110","BP","GO:0034110","regulation of homotypic cell-cell adhesion","4/376","20/10715",0.2,5.69946808510638,4.0114721717555,0.00462679845687458,0.0854662210953872,0.0760743072593483,"Ceacam1/Cd24a/Lgals1/Cd9",4
"GO:0046184","BP","GO:0046184","aldehyde biosynthetic process","4/376","20/10715",0.2,5.69946808510638,4.0114721717555,0.00462679845687458,0.0854662210953872,0.0760743072593483,"Kdm3a/Eno1/Tpi1/Gapdh",4
"GO:0048483","BP","GO:0048483","autonomic nervous system development","4/376","20/10715",0.2,5.69946808510638,4.0114721717555,0.00462679845687458,0.0854662210953872,0.0760743072593483,"Phactr4/Fn1/Sox10/Ednrb",4
"GO:0071900","BP","GO:0071900","regulation of protein serine/threonine kinase activity","13/376","163/10715",0.0797546012269939,2.27279402166819,3.12259035192932,0.00483951423412242,0.0890393495345711,0.0792547833266851,"Ulk4/Stil/Tnfaip3/P2rx7/Ceacam1/Il1b/Adrb2/Spdya/Ezh2/Lrp6/Cd24a/Mif/Apoe",13
"GO:0002709","BP","GO:0002709","regulation of T cell mediated immunity","6/376","46/10715",0.130434782608696,3.71704440333025,3.52163442053443,0.00512854484145849,0.0925141409291222,0.082347728642662,"P2rx7/Ceacam1/Il1b/H2-Q10/Cd24a/Hmgb1",6
"GO:0002688","BP","GO:0002688","regulation of leukocyte chemotaxis","7/376","61/10715",0.114754098360656,3.27018660620858,3.39078773960478,0.00529077093943153,0.0943340396373984,0.0839676380260402,"Tnfaip6/Pgf/Il1b/Perp/Rarres2/Mif/Hmgb1",7
"GO:0061041","BP","GO:0061041","regulation of wound healing","7/376","61/10715",0.114754098360656,3.27018660620858,3.39078773960478,0.00529077093943153,0.0943340396373984,0.0839676380260402,"Ceacam1/Serping1/Apoe/Anxa5/Cd109/Hmgb1/Cd9",7
"GO:0071174","BP","GO:0071174","mitotic spindle checkpoint signaling","5/376","33/10715",0.151515151515152,4.31777885235332,3.64006042965469,0.00546943378237985,0.0957999613802868,0.0852724691003214,"Stil/Spdl1/Birc5/Spc24/Zw10",5
"GO:0022412","BP","GO:0022412","cellular process involved in reproduction in multicellular organism","15/376","204/10715",0.0735294117647059,2.09539267834794,3.01226638414759,0.00549459302220266,0.0957999613802868,0.0852724691003214,"Ttc21a/Drc7/Tnfaip6/Ccdc146/Ropn1l/Cdkn1c/Cfap69/Fbxo5/Spdya/Meig1/Kdm3a/Cfap52/Nme5/Rsph1/Cd9",15
"GO:0002920","BP","GO:0002920","regulation of humoral immune response","4/376","21/10715",0.19047619047619,5.42806484295846,3.87332559078336,0.00555963396490188,0.0957999613802868,0.0852724691003214,"Trem2/A2m/Il1b/Serping1",4
"GO:0036314","BP","GO:0036314","response to sterol","4/376","21/10715",0.19047619047619,5.42806484295846,3.87332559078336,0.00555963396490188,0.0957999613802868,0.0852724691003214,"Gramd1c/Lrp6/Insig2/Abca1",4
"GO:0051043","BP","GO:0051043","regulation of membrane protein ectodomain proteolysis","4/376","21/10715",0.19047619047619,5.42806484295846,3.87332559078336,0.00555963396490188,0.0957999613802868,0.0852724691003214,"Il1b/Timp3/Apoe/Timp4",4
"GO:0046166","BP","GO:0046166","glyceraldehyde-3-phosphate biosynthetic process","3/376","11/10715",0.272727272727273,7.77200193423598,4.28519748812095,0.00573251421656274,0.0959157632321983,0.0853755454449943,"Eno1/Tpi1/Gapdh",3
"GO:0060295","BP","GO:0060295","regulation of cilium movement involved in cell motility","3/376","11/10715",0.272727272727273,7.77200193423598,4.28519748812095,0.00573251421656274,0.0959157632321983,0.0853755454449943,"Cfap69/Clxn/Anxa5",3
"GO:0031514","CC","GO:0031514","motile cilium","31/376","169/10715",0.183431952662722,5.22732279994964,10.5631964479747,2.14205212688924e-14,1.78159928236564e-11,1.58581869518311e-11,"Ctsh/Cfap91/Drc7/Iqub/Cfap251/Ropn1l/Cfap276/Cimip2c/Cimap1b/Ccdc40/Cfap69/Dnai1/Eno4/Cfap90/Spaca9/Cfap126/Dnaaf11/Dynlt4/Rsph4a/Tekt1/Dnai4/Cfap52/Cd24a/Drc3/Acta2/Clxn/Nme5/Rsph1/Ift46/Cetn2/Dync2li1",31
"GO:0005930","CC","GO:0005930","axoneme","24/376","117/10715",0.205128205128205,5.8456082924168,10.0498540097538,1.63617838688033e-12,9.44483973826673e-10,8.40694289574698e-10,"Ctsh/Cfap91/Iqub/Ropn1l/Cfap276/Cimip2c/Ccdc40/Cfap69/Dnai1/Cfap90/Spaca9/Cfap126/Dynlt4/Rsph4a/Ccdc96/Tekt1/Dnai4/Cfap52/Drc3/Clxn/Nme5/Dynlt2b/Rsph1/Dync2li1",24
"GO:0031012","CC","GO:0031012","extracellular matrix","31/376","231/10715",0.134199134199134,3.82431841208437,8.27535468508736,1.08005673121553e-10,3.83669383442563e-08,3.41507816631307e-08,"Plscr2/Ltbp1/S100a3/Cthrc1/Col8a2/Adamts8/Ccn5/Col20a1/Serping1/S100a6/Rarres2/Fn1/Lgals3/Ccn2/Anxa3/Entpd2/Acta2/Angpt1/Lgals1/Prelp/Anxa4/Timp3/Apoe/S100a10/Sparc/Anxa5/S100a11/Serpinb6a/Timp4/F3/Clu",31
"GO:0009986","CC","GO:0009986","cell surface","34/376","439/10715",0.0774487471526196,2.20708331313915,4.92479247287202,1.18368064599638e-05,0.00136655930580283,0.00121638761121471,"P2rx7/Trem2/Ccn5/Ceacam1/Slc2a4/Ccrl2/H2-Q10/Pdgfc/Ntsr2/Adgre5/Dcc/Kdr/Lgals3/Lrp6/Entpd2/Cd24a/Smim1/Emp2/Lgals1/Anxa4/Mif/Apoe/S100a10/Sparc/Anxa5/Prnp/Aqp4/Hmgb1/Eno1/F3/Abca1/Clu/Cd9/Ntrk2",34
"GO:0160110","CC","GO:0160110","axonemal microtubule doublet inner sheath","7/376","25/10715",0.28,7.97925531914894,6.66224675210426,1.72281819116957e-05,0.00194048156263929,0.00172724134442033,"Cfap276/Cimip2c/Cfap90/Spaca9/Cfap126/Tekt1/Cfap52",7
"GO:0045121","CC","GO:0045121","membrane raft","21/376","213/10715",0.0985915492957746,2.8095969433623,5.0870513855326,1.8574471943348e-05,0.00199481189382282,0.00177560129593082,"Plscr2/Mag/Trem2/Slc2a4/Myo1d/Adrb2/Kdr/Lrp6/Stom/Cd24a/Emp2/Angpt1/Tuba1c/Rhoq/S100a10/Prnp/Erlin2/Ezr/Hmgb1/Eno1/Abca1",21
"GO:0009897","CC","GO:0009897","external side of plasma membrane","14/376","143/10715",0.0979020979020979,2.78994941228984,4.10923212253362,0.0004915879445137,0.0239148495971765,0.0212868381566352,"P2rx7/Ceacam1/Slc2a4/Ccrl2/H2-Q10/Adgre5/Kdr/Lgals3/Cd24a/Apoe/Anxa5/Aqp4/Abca1/Cd9",14
"GO:0097386","CC","GO:0097386","glial cell projection","7/376","45/10715",0.155555555555556,4.43291962174941,4.4006634675953,0.000888487152855232,0.0336561011559661,0.0299576200711285,"Dnai1/Lgals3/Cntf/Gfap/Cetn2/Ezr/Aqp4",7
"GO:0120293","CC","GO:0120293","dynein axonemal particle","4/376","15/10715",0.266666666666667,7.59929078014184,4.87732259214927,0.00149751248944124,0.0437690675711371,0.0389592689624787,"Zmynd10/Dnaaf11/Dnai4/Dynlt2b",4
"GO:0098552","CC","GO:0098552","side of membrane","22/376","332/10715",0.0662650602409639,1.88837798000513,3.13570989122406,0.00318418683480567,0.0674521779960211,0.0600398338479776,"P2rx7/Reck/Ceacam1/Slc2a4/Pgm5/Ccrl2/H2-Q10/S100a6/Adgre5/Kdr/Lgals3/Cd24a/Gfap/Apoe/Alg5/Anxa5/Gem/Prnp/Aqp4/Cd109/Abca1/Cd9",22
"GO:0005902","CC","GO:0005902","microvillus","7/376","59/10715",0.11864406779661,3.38104038946989,3.49724564560949,0.00439141628970875,0.0841475536343361,0.0749005486408065,"Ceacam1/Myo1d/Myo1h/Wwox/Cd24a/Angpt1/Ezr",7
"GO:0005814","CC","GO:0005814","centriole","10/376","111/10715",0.0900900900900901,2.56732796626414,3.16531538450945,0.00555650555547075,0.0957999613802868,0.0852724691003214,"Stil/Ccdc146/Cntrob/Hyls1/Cep97/Birc5/Mdm1/Cetn4/Capg/Cetn2",10
"GO:0004866","MF","GO:0004866","endopeptidase inhibitor activity","12/376","51/10715",0.235294117647059,6.70525657071339,7.78808486866343,1.34804373502325e-07,2.82966634924427e-05,2.51871329438555e-05,"Reck/A2m/Wfdc2/Serping1/Birc5/Timp3/Prnp/Serpinb6a/Timp4/Cd109/Lxn/Gapdh",12
"GO:0048306","MF","GO:0048306","calcium-dependent protein binding","12/376","61/10715",0.19672131147541,5.60603418207185,6.8796477743534,1.07718354818824e-06,0.000171532193983907,0.000152682459371146,"S100a3/A2m/Spaca9/Myo1d/S100a6/S100a4/Anxa3/S100b/Clxn/Anxa4/S100a10/S100a11",12
"GO:0038023","MF","GO:0038023","signaling receptor activity","30/376","328/10715",0.0914634146341463,2.60646406331085,5.63499255604396,1.46342715960158e-06,0.000211190831970002,0.000187982995336979,"Gipr/Il10rb/Ctsh/Mertk/Gabra3/P2rx7/Prokr2/Reck/Gper1/Trem2/Htr5b/Calcrl/Adrb2/Ccrl2/Ntsr2/Adgre5/Dcc/Kdr/Lgals3/Paqr6/Lrp6/Thrb/B9d1/Prnp/Bsg/Ednrb/S1pr3/F3/Abca1/Ntrk2",30
"GO:0048018","MF","GO:0048018","receptor ligand activity","20/376","173/10715",0.115606936416185,3.29449022260485,5.80200679168914,2.66858675959378e-06,0.000365731975197819,0.000325541556642767,"Adm/Jag2/Ccl6/Ccn5/Pgf/Il1b/Pdgfc/S100a4/Fn1/Lgals3/Ccn2/Angpt1/Lgals1/Cntf/Mif/Apoe/Igfbp5/Gpi1/Hmgb1/Clu",20
"GO:0030546","MF","GO:0030546","signaling receptor activator activity","20/376","178/10715",0.112359550561798,3.20194836241932,5.64922818377073,4.15302786229215e-06,0.000532741185224032,0.000474198064393299,"Adm/Jag2/Ccl6/Ccn5/Pgf/Il1b/Pdgfc/S100a4/Fn1/Lgals3/Ccn2/Angpt1/Lgals1/Cntf/Mif/Apoe/Igfbp5/Gpi1/Hmgb1/Clu",20
"GO:0005509","MF","GO:0005509","calcium ion binding","25/376","301/10715",0.0830564784053156,2.36688873966212,4.58709888897619,5.7034896112253e-05,0.00537524796421193,0.00478456002832112,"Plscr2/Tnfaip6/Ltbp1/S100a3/Jag2/Cdh22/Dsc1/Pvalb/S100a6/Capn3/Adgre5/S100a4/Cetn4/Anxa3/Pamr1/S100b/Clxn/Anxa4/Cant1/Gsn/S100a10/Sparc/Anxa5/S100a11/Cetn2",25
"GO:0005539","MF","GO:0005539","glycosaminoglycan binding","12/376","109/10715",0.110091743119266,3.13732188170994,4.27698616523511,0.0004259179219546,0.0215485955131593,0.0191806125866488,"Tnfaip6/Trem2/Adamts8/Ccn5/Adgre5/Fn1/Ccn2/Prelp/Apoe/Prnp/Hmgb1/Lxn",12
"GO:0042562","MF","GO:0042562","hormone binding","7/376","42/10715",0.166666666666667,4.74955673758865,4.64292636471664,0.000578121477568477,0.0254824963208574,0.0226822156169105,"Gipr/Ctsh/Gper1/Calcrl/Thrb/Anxa5/Ednrb",7
"GO:0044548","MF","GO:0044548","S100 protein binding","4/376","12/10715",0.333333333333333,9.4991134751773,5.6174855488061,0.000590434626750052,0.0254824963208574,0.0226822156169105,"S100a6/S100b/S100a11/Ezr",4
"GO:0140678","MF","GO:0140678","molecular function inhibitor activity","23/376","316/10715",0.0727848101265823,2.07417351198492,3.69617620592449,0.000752856292538539,0.0302327729334729,0.026910482620686,"Ppp1r17/Ltbp1/Reck/A2m/Cdkn1c/Phactr4/Ppp1r36/Wfdc2/Serping1/Fbxo5/Birc5/Lrp6/Anxa3/Stom/Cabin1/Timp3/Ppp1r14b/Prnp/Serpinb6a/Timp4/Cd109/Lxn/Gapdh",23
"GO:0048029","MF","GO:0048029","monosaccharide binding","7/376","46/10715",0.152173913043478,4.33655180388529,4.324594645585,0.00101692115570281,0.0370013011178375,0.0329352148036643,"Egln3/Lgals3/Pfkl/Galk1/Lgals1/Gpi1/Bsg",7
"GO:0005178","MF","GO:0005178","integrin binding","10/376","89/10715",0.112359550561798,3.20194836241932,3.97784359912298,0.00108081685722931,0.038393940359115,0.0341748164168458,"Ccn5/Il1b/Kdr/Fn1/Ccn2/Emp2/Gfap/S1pr3/Hmgb1/Cd9",10
"GO:0045504","MF","GO:0045504","dynein heavy chain binding","4/376","15/10715",0.266666666666667,7.59929078014184,4.87732259214927,0.00149751248944124,0.0437690675711371,0.0389592689624787,"Dnai1/Dnai4/Clxn/Dync2li1",4
"GO:0071813","MF","GO:0071813","lipoprotein particle binding","4/376","16/10715",0.25,7.12433510638298,4.67495914025987,0.00194190966809928,0.0498207713737916,0.0443459488533783,"Trem2/Pltp/Apoe/Abca1",4
"GO:0120020","MF","GO:0120020","cholesterol transfer activity","4/376","16/10715",0.25,7.12433510638298,4.67495914025987,0.00194190966809928,0.0498207713737916,0.0443459488533783,"Gramd1c/Pltp/Apoe/Abca1",4
"GO:0050839","MF","GO:0050839","cell adhesion molecule binding","14/376","173/10715",0.0809248554913295,2.30614315582339,3.30280398946408,0.00308457495009375,0.0664686553802044,0.0591643908868496,"Ccn5/Cdh22/Il1b/Kdr/Fn1/Ccn2/Ndrg1/Emp2/Gfap/Bsg/S1pr3/Ezr/Hmgb1/Cd9",14
"GO:0017046","MF","GO:0017046","peptide hormone binding","4/376","18/10715",0.222222222222222,6.33274231678487,4.31803669949769,0.00308861290223723,0.0664686553802044,0.0591643908868496,"Gipr/Calcrl/Anxa5/Ednrb",4
"GO:0019956","MF","GO:0019956","chemokine binding","3/376","10/10715",0.3,8.54920212765957,4.55447364831011,0.00427949585357697,0.0826891709281107,0.0736024281357325,"A2m/Ccrl2/Hmgb1",3
