"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0070374","BP","GO:0070374","positive regulation of ERK1 and ERK2 cascade","13/376","112/10715",0.116071428571429,3.30772701367781,4.68176424188707,0.000145217331992885,0.0105754215801181,0.00941328469156419,"Gper1/Trem2/Il1b/Pdgfc/Ntsr2/Dcc/Kdr/Ccn2/Acta2/Angpt1/Mif/Apoe/Hmgb1",13
"GO:0010951","BP","GO:0010951","negative regulation of endopeptidase activity","5/376","16/10715",0.3125,8.90541888297872,6.03453430006566,0.000164320953467127,0.0109975965668289,0.0097890667168441,"Reck/Serping1/Timp3/Serpinb6a/Gapdh",5
"GO:0061718","BP","GO:0061718","glucose catabolic process to pyruvate","5/376","16/10715",0.3125,8.90541888297872,6.03453430006566,0.000164320953467127,0.0109975965668289,0.0097890667168441,"Pfkl/Gpi1/Eno1/Tpi1/Gapdh",5
"GO:0097529","BP","GO:0097529","myeloid leukocyte migration","13/376","114/10715",0.114035087719298,3.24969671519224,4.60504054655185,0.000173868763685454,0.0114703707242775,0.0102098875517548,"Tnfaip6/Trem2/Pgf/Il1b/Perp/Rarres2/Lgals3/Emp2/Mif/Bsg/Ednrb/Hmgb1/Cd9",13
"GO:0040017","BP","GO:0040017","positive regulation of locomotion","28/376","382/10715",0.0732984293193717,2.08881029297093,4.13238865300537,0.000182758290558929,0.0115623417703778,0.0102917518664551,"Ctsh/Tnfaip6/Gper1/Trem2/Ccl6/Pgf/Cfap69/Il1b/Perp/Prr5/Fbxo5/Ezh2/Pdgfc/Kdr/Rarres2/Fn1/Lgals3/Anxa3/Vim/Acta2/Angpt1/Igfbp5/Sparc/S100a11/Gpi1/Bsg/Hmgb1/F3",28
"GO:0032787","BP","GO:0032787","monocarboxylic acid metabolic process","28/376","385/10715",0.0727272727272727,2.07253384912959,4.08716045022335,0.000208202498690585,0.0129929613372043,0.0115651601335239,"P2rx7/Cthrc1/Slc16a3/Ceacam1/Acot4/Eno4/Il1b/Pon3/Ucp2/Etfbkmt/Pdk1/Grhpr/Pfkl/Galk1/Idh2/Ptgds/Btd/Hacd2/Mif/Acad11/Erlin2/Gpi1/Acaa2/Insig2/Eno1/Tpi1/Mid1ip1/Gapdh",28
"GO:0050918","BP","GO:0050918","positive chemotaxis","7/376","36/10715",0.194444444444444,5.54114952718676,5.20453861553168,0.000214380105195,0.0131291884598205,0.011686417208543,"Pgf/S100a4/Kdr/Lgals3/Angpt1/Mif/Hmgb1",7
"GO:0070371","BP","GO:0070371","ERK1 and ERK2 cascade","18/376","199/10715",0.0904522613065327,2.57764888271143,4.28392717626735,0.00021980438646956,0.0131291884598205,0.011686417208543,"Ctsh/Fam83d/Gper1/Trem2/Ceacam1/Il1b/Pdgfc/Ntsr2/Dcc/Kdr/Fn1/Ccn2/Acta2/Angpt1/Mif/Apoe/Ezr/Hmgb1",18
"GO:0030195","BP","GO:0030195","negative regulation of blood coagulation","5/376","17/10715",0.294117647058824,8.38157071339174,5.8083452659013,0.000226127010280209,0.0131291884598205,0.011686417208543,"Ceacam1/Serping1/Apoe/Anxa5/Cd9",5
"GO:0050819","BP","GO:0050819","negative regulation of coagulation","5/376","17/10715",0.294117647058824,8.38157071339174,5.8083452659013,0.000226127010280209,0.0131291884598205,0.011686417208543,"Ceacam1/Serping1/Apoe/Anxa5/Cd9",5
