threshold_um,null_model,region,xmin_um,xmax_um,actin_total,arc_total,observed_pairs,actin_match_fraction,arc_match_fraction,dice_fraction,null_pairs_mean,null_pairs_ci_low,null_pairs_ci_high,null_actin_match_fraction_mean,null_arc_match_fraction_mean,null_dice_fraction_mean,enrichment_vs_null,empirical_p_enrichment
0.1,shift_x_circular,whole_image,-inf,inf,1605,559,108,0.06728971962616823,0.19320214669051877,0.09981515711645102,2.25,0.0,8.099999999999994,0.0014018691588785046,0.004025044722719142,0.0020794824399260627,48.0,0.047619047619047616
0.1,shift_x_circular,x_ge_50,50.0,inf,248,66,9,0.036290322580645164,0.13636363636363635,0.05732484076433121,0.7,0.0,3.049999999999997,0.00282258064516129,0.010606060606060605,0.0044585987261146496,12.857142857142858,0.047619047619047616
0.1,shift_x_circular,0_30,0.0,30.0,1062,408,84,0.07909604519774012,0.20588235294117646,0.11428571428571428,1.4,0.0,7.099999999999994,0.0013182674199623352,0.003431372549019608,0.0019047619047619045,60.00000000000001,0.047619047619047616
0.1,shift_x_circular,30_60,30.0,60.0,388,116,20,0.05154639175257732,0.1724137931034483,0.07936507936507936,0.5,0.0,2.5749999999999957,0.001288659793814433,0.004310344827586207,0.001984126984126984,40.0,0.047619047619047616
0.1,shift_x_circular,60_90,60.0,90.0,134,28,3,0.022388059701492536,0.10714285714285714,0.037037037037037035,0.25,0.0,1.5249999999999986,0.0018656716417910447,0.008928571428571428,0.0030864197530864196,12.0,0.047619047619047616
0.1,shift_x_circular,90_120,90.0,120.0,20,6,1,0.05,0.16666666666666666,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.047619047619047616
